姓名,國文,英文,數學,社會,自然
stu1,88,58,98,73,89
stu2,89,97,69,69,56
stu3,89,87,69,79,83
stu4,93,57,84,89,54
stu5,81,55,86,78,70
stu6,90,71,70,72,60
stu7,93,93,73,91,57
stu8,82,89,81,99,55
stu9,78,73,59,60,92
stu10,64,53,62,92,58
stu11,100,70,67,59,79
stu12,76,68,69,59,90
stu13,85,57,71,77,89
stu14,51,89,62,74,60
stu15,58,52,71,70,73
stu16,77,66,91,85,51
stu17,92,76,52,80,50
stu18,59,93,98,58,62
stu19,82,82,79,84,71
stu20,92,50,68,84,80
stu21,79,73,93,67,79
stu22,51,62,63,59,56
stu23,74,76,84,56,86
stu24,57,78,69,95,57
stu25,87,93,90,72,99
stu26,81,87,94,89,61
stu27,83,96,81,90,81
stu28,88,64,80,100,68
stu29,84,82,56,65,61
stu30,86,78,55,90,87
stu31,70,60,88,97,95
stu32,62,53,60,55,91
stu33,70,68,98,56,52
stu34,60,82,92,50,91
stu35,91,64,83,78,68
stu36,92,86,69,83,70
stu37,86,67,77,55,98
stu38,100,88,83,87,88
stu39,63,73,67,71,98
stu40,99,55,71,99,85
stu41,85,81,74,92,100
stu42,50,99,93,68,91
stu43,95,80,68,57,91
stu44,85,72,56,77,61
stu45,94,69,73,66,93
stu46,92,96,70,79,68
stu47,71,74,56,69,92
stu48,81,83,75,99,62
stu49,76,77,98,57,84
stu50,99,65,90,71,94
