SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
頂何厝（入城）,臺北市,,,設備維護,,,,,,,,,,,,,,,,,,,
行動監測02,臺北市,,,設備維護,2,0.12,0.1,28,30,5,,3.2,5.3,2.1,3.5,168,2020-08-26 15:00,,6,,,,
臺南(北門),臺南市,25,,良好,0,0.16,0.2,22,27,5,4,8.9,10,1.5,5.9,148,2020-08-26 16:00,3,6,0,120.124444,23.264722,310
屏東(琉球),屏東縣,29,,良好,1.4,0.13,0.2,33,31,20,ND,,,,4.6,299,2020-08-26 16:00,3,14,1,120.377222,22.352222,204
臺南(麻豆),臺南市,22,,良好,0.8,0.2,0.2,22,24,3,ND,7.2,9.3,2.1,3,125,2020-08-26 16:00,2,5,1,120.245831,23.179047,203
彰化(大城),彰化縣,28,,良好,2.1,0.12,0.1,30,30,3,,2.7,5,2.3,3.7,166,2020-08-26 16:00,,5,2,120.273117,23.843139,202
富貴角,新北市,50,,良好,0.3,0.14,0.2,56,54,27,11,2.5,2.7,0.3,1.1,242,2020-08-26 16:00,10,31,1,121.536763,25.298562,84
麥寮,雲林縣,24,,良好,,,0.2,,26,0,,,,,5,164,2020-08-26 16:00,,7,2,120.251825,23.753506,83
關山,臺東縣,24,,良好,2.6,-,,26,26,9,5,2.8,3.6,0.8,1.2,223,2020-08-26 16:00,5,10,3,121.161933,23.045083,80
馬公,澎湖縣,24,,良好,2.8,0.18,0.2,25,24,25,6,4.2,7.3,3.2,5.4,155,2020-08-26 16:00,7,26,2,119.566158,23.569031,78
金門,金門縣,51,細懸浮微粒,普通,2,0.13,0.2,36,38,33,13,2.3,3.4,1.1,8.3,196,2020-08-26 16:00,16,37,3,118.312256,24.432133,77
馬祖,連江縣,93,臭氧八小時,普通,1.9,0.09,0.1,69,68,43,18,2.8,3.7,0.9,8.5,177,2020-08-26 16:00,25,41,2,119.949875,26.160469,75
埔里,南投縣,30,,良好,2.4,0.21,0.2,34,32,13,5,4.1,4.8,0.7,0.4,233,2020-08-26 16:00,6,16,2,120.967903,23.968842,72
復興,高雄市,19,,良好,2,0.36,0.5,13,10,3,3,20,27,6.9,1.3,130,2020-08-26 16:00,5,5,3,120.312017,22.608711,71
永和,新北市,38,,良好,1,0.33,0.7,39,41,11,4,9.6,14,4.4,1.9,137,2020-08-26 16:00,10,18,3,121.516306,25.017,70
竹山,南投縣,28,,良好,1.8,0.17,0.2,24,30,9,ND,16,17,1.4,0.7,227,2020-08-26 16:00,5,11,2,120.677306,23.756389,69
中壢,桃園市,36,,良好,1.8,0.77,0.7,26,30,13,9,26,57,31,1.7,192,2020-08-26 16:00,11,21,2,121.221667,24.953278,68
三重,新北市,42,,良好,1.6,0.62,0.9,-,,22,9,23,44,21,,,2020-08-26 16:00,13,25,4,121.493806,25.072611,67
冬山,宜蘭縣,38,,良好,1.3,0.26,0.3,32,38,25,15,13,15,2.8,2.9,300,2020-08-26 16:00,12,26,1,121.792928,24.632203,66
宜蘭,宜蘭縣,42,,良好,1.8,0.15,0.2,37,45,20,14,4.7,4.8,0.2,2.3,303,2020-08-26 16:00,12,23,3,121.746394,24.747917,65
陽明,臺北市,44,,良好,1,0.17,0.2,45,48,18,3,3.8,5,1.2,,,2020-08-26 16:00,6,18,1,121.529583,25.182722,64
花蓮,花蓮縣,44,,良好,1.8,0.25,0.2,52,48,21,9,7.7,8.4,0.7,1.1,32,2020-08-26 16:00,9,22,1,121.599769,23.971306,63
臺東,臺東縣,23,,良好,1.3,0.32,0.4,23,25,11,5,8,9.6,1.6,1.6,215,2020-08-26 16:00,6,15,2,121.15045,22.755358,62
恆春,屏東縣,31,,良好,0.7,0.08,0.1,31,33,0,4,0.6,2,1.4,13,332,2020-08-26 16:00,5,7,1,120.788928,21.958069,61
潮州,屏東縣,24,,良好,1.1,0.15,0.1,27,26,3,2,3.7,4.6,0.9,3.6,298,2020-08-26 16:00,3,6,2,120.561175,22.523108,60
屏東,屏東縣,18,,良好,1.7,0.31,0.4,20,17,7,5,11,13,1.5,1.1,52,2020-08-26 16:00,6,7,1,120.488033,22.673081,59
小港,高雄市,23,,良好,1.2,0.26,0.4,15,12,10,7,16,21,4.4,2,84,2020-08-26 16:00,7,7,2,120.337736,22.565833,58
前鎮,高雄市,22,,良好,1.6,0.46,0.6,9.4,7,4,2,23,30,7.2,1,52,2020-08-26 16:00,5,6,2,120.307564,22.605386,57
前金,高雄市,20,,良好,2.7,0.41,0.6,7.3,9,,,,,,1.6,45,2020-08-26 16:00,6,5,3,120.288086,22.632567,56
左營,高雄市,24,,良好,1.8,0.34,0.4,7,9,6,8,25,30,5.8,2.2,77,2020-08-26 16:00,5,5,2,120.292917,22.674861,54
楠梓,高雄市,19,,良好,1.6,0.24,0.3,14,11,7,3,20,23,2.6,1.3,68,2020-08-26 16:00,4,6,3,120.328289,22.733667,53
林園,高雄市,28,,良好,1.5,0.2,0.2,25,30,11,4,11,11,0.8,2.7,30,2020-08-26 16:00,3,11,1,120.41175,22.4795,52
大寮,高雄市,20,,良好,6.2,0.28,0.2,12,20,13,7,21,27,6.5,2.6,87,2020-08-26 16:00,5,11,2,120.425081,22.565747,51
鳳山,高雄市,19,,良好,2,0.3,0.4,21,16,6,5,,,,2.4,79,2020-08-26 16:00,6,6,3,120.358083,22.627392,50
仁武,高雄市,14,,良好,2.1,0.21,0.3,19,15,6,3,13,15,1.3,2,88,2020-08-26 16:00,3,6,3,120.332631,22.689056,49
橋頭,高雄市,13,,良好,1.3,0.2,0.2,18,14,2,4,13,14,1.4,3.3,91,2020-08-26 16:00,3,6,2,120.305689,22.757506,48
美濃,高雄市,17,,良好,1.3,0.19,0.2,25,18,0,3,3.3,3.6,0.2,0.9,63,2020-08-26 16:00,5,6,1,120.530542,22.883583,47
臺南,臺南市,19,,良好,1.5,0.28,0.3,16,20,4,ND,14,16,2,2.6,117,2020-08-26 16:00,3,6,2,120.202617,22.984581,46
安南,臺南市,25,,良好,2.3,0.24,0.3,16,19,10,7,16,21,4.6,4.4,123,2020-08-26 16:00,8,12,2,120.2175,23.048197,45
善化,臺南市,23,,良好,0.3,0.13,0.2,23,25,5,ND,5.5,6.7,1.2,3.4,134,2020-08-26 16:00,4,5,2,120.297142,23.115097,44
新營,臺南市,11,,良好,2.1,0.14,0.2,,,3,3,3.1,4.4,1.3,2.4,198,2020-08-26 16:00,3,5,2,120.31725,23.305633,43
嘉義,嘉義市,21,,良好,1.1,0.18,0.2,18,23,7,,7.3,8.2,0.9,0.7,101,2020-08-26 16:00,5,10,1,120.440833,23.462778,42
臺西,雲林縣,27,,良好,0.2,0.18,0.2,31,29,8,4,4.3,7,2.7,6.4,158,2020-08-26 16:00,4,5,1,120.202842,23.717533,41
朴子,嘉義縣,24,,良好,1.1,0.19,0.2,25,26,8,2,7,7.8,0.9,2.5,146,2020-08-26 16:00,2,5,2,120.24781,23.467123,40
新港,嘉義縣,25,,良好,1.4,0.18,0.2,27,27,8,8,6.3,6.9,0.6,2.6,140,2020-08-26 16:00,6,7,1,120.345531,23.554839,39
崙背,雲林縣,28,,良好,2.1,0.18,0.2,27,30,4,4,4.2,8.4,4.2,3.9,180,2020-08-26 16:00,5,6,2,120.348742,23.757547,38
斗六,雲林縣,30,,良好,2.4,0.18,0.2,26,32,14,6,4.7,6.6,2,2.4,190,2020-08-26 16:00,6,14,2,120.544994,23.711853,37
南投,南投縣,28,,良好,1.9,0.31,0.3,26,30,13,3,8.5,9.7,1.2,2.2,157,2020-08-26 16:00,6,13,2,120.685306,23.913,36
二林,彰化縣,24,,良好,3,0.17,0.2,24,26,8,7,4.2,5.1,1,4.8,173,2020-08-26 16:00,4,7,3,120.409653,23.925175,35
線西,彰化縣,30,,良好,1.7,0.17,0.2,30,32,7,6,1.2,2.6,1.4,4.7,186,2020-08-26 16:00,6,9,2,120.469061,24.131672,34
彰化,彰化縣,26,,良好,1.9,0.17,0.2,26,28,6,4,4.5,5.5,1,4.1,193,2020-08-26 16:00,5,8,3,120.541519,24.066,33
西屯,臺中市,,,設備維護,,,0.2,,,12,,,,,5,185,2020-08-26 16:00,,12,2,120.616917,24.162197,32
忠明,臺中市,36,,良好,,,0.2,,39,10,ND,,,,2.9,163,2020-08-26 16:00,7,10,2,120.641092,24.151958,31
大里,臺中市,31,,良好,3.3,0.23,0.3,26,27,18,6,9,12,2.9,1.8,238,2020-08-26 16:00,10,18,3,120.677689,24.099611,30
