sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,64,臭氧八小時,普通,0.4,0.18,58.1,60.0,25,14,2.1,2.4,0.3,7.3,91,"2024-03-15 09:00",,0.1,12.5,25,0,120.651472,22.260899,313
新北(樹林),新北市,78,細懸浮微粒,普通,0.8,0.76,5.4,9.8,44,27,24.5,50,25.4,0,109,"2024-03-15 09:00",,0.4,26.6,37,0,121.38352778,24.94902778,311
屏東(琉球),屏東縣,94,細懸浮微粒,普通,2.9,0.38,51.9,51.6,74,33,8,9.3,1.3,1,61,"2024-03-15 09:00",,0.3,33,67,2,120.37722,22.35222,204
臺南(麻豆),臺南市,152,細懸浮微粒,對所有族群不健康,1.4,0.48,18.2,10.6,109,61,15.7,20.8,5.1,0.7,358,"2024-03-15 09:00",,0.4,57.2,101,1,120.24583056,23.17904722,203
高雄(湖內),高雄市,148,細懸浮微粒,對敏感族群不健康,2.6,0.52,18.7,7.0,109,57,17.2,22.7,5.5,0.9,311,"2024-03-15 09:00",,0.4,53.5,100,1,120.24535,22.87985556,202
彰化(員林),彰化縣,119,細懸浮微粒,對敏感族群不健康,3,0.54,21.2,10.4,73,41,14.7,19.5,4.7,1,12,"2024-03-15 09:00",,0.4,42.4,75,2,120.56373,23.96117,201
大城,彰化縣,84,細懸浮微粒,普通,1.1,0.16,29.4,36.0,70,34,9.1,13.4,4.2,2.7,60,"2024-03-15 09:00",,0.1,28.7,55,0,120.26964167,23.85493056,85
富貴角,新北市,52,細懸浮微粒,普通,0.7,0.28,31.6,40.9,46,15,7.8,8.3,0.5,1.3,155,"2024-03-15 09:00",,0.2,16,47,1,121.53656894,25.29681695,84
麥寮,雲林縣,86,細懸浮微粒,普通,1.7,0.28,32.6,31.6,78,37,,,,3.2,37,"2024-03-15 09:00",,0.2,29.8,63,1,120.251825,23.753506,83
關山,臺東縣,55,細懸浮微粒,普通,1,0.28,20.2,29.0,48,21,9,11.3,2.2,0.5,76,"2024-03-15 09:00",,0.2,17,34,0,121.161933,23.045083,80
馬公,澎湖縣,65,細懸浮微粒,普通,0.2,0.32,44.2,46.0,40,27,9.2,10.7,1.4,3.3,41,"2024-03-15 09:00",,0.2,21,35,0,119.566158,23.569031,78
金門,金門縣,126,細懸浮微粒,對敏感族群不健康,2.7,0.53,13.5,21,63,45,18.7,20.8,2.1,1.1,354,"2024-03-15 09:00",,0.4,45,63,2,118.312256,24.432133,77
馬祖,連江縣,65,細懸浮微粒,普通,0.8,0.26,42,38.2,29,18,7.8,8.6,0.7,1.9,337,"2024-03-15 09:00",,0.3,21,26,1,119.93149378,26.15188416,75
埔里,南投縣,69,細懸浮微粒,普通,1.3,0.44,12.5,9.0,35,22,9.3,17.9,8.6,0.4,207,"2024-03-15 09:00",,0.3,23,30,1,120.967903,23.968842,72
復興,高雄市,137,細懸浮微粒,對敏感族群不健康,1.9,0.98,44.3,23.3,78,39,27.1,31.3,4.1,0.8,131,"2024-03-15 09:00",,0.7,49.2,84,2,120.312017,22.608711,71
永和,新北市,72,細懸浮微粒,普通,2.2,2.07,2.8,20.3,56,31,36.8,94.2,57.4,1.2,293,"2024-03-15 09:00",,0.9,24,41,1,121.516306,25.017,70
竹山,南投縣,101,細懸浮微粒,對敏感族群不健康,1.5,0.41,15.7,11.0,44,31,13.3,20.3,7,1.5,21,"2024-03-15 09:00",,0.3,35.5,51,1,120.677306,23.756389,69
中壢,桃園市,137,細懸浮微粒,對敏感族群不健康,3.9,2.74,1.5,3.7,73,46,41.7,136.6,94.9,0.2,236,"2024-03-15 09:00",,1.3,49.2,71,2,121.221667,24.953278,68
三重,新北市,75,細懸浮微粒,普通,1.9,2.58,1.3,9.7,54,32,44.8,184.2,139.3,-,-,"2024-03-15 09:00",,1.2,25.4,42,1,121.493806,25.072611,67
冬山,宜蘭縣,64,細懸浮微粒,普通,0.8,0.52,10.4,15.5,51,24,22,38.2,16.1,0.7,314,"2024-03-15 09:00",,0.4,20.7,40,0,121.792928,24.632203,66
宜蘭,宜蘭縣,58,細懸浮微粒,普通,1.3,0.43,22.3,26.7,40,17,10.6,12.9,2.3,0.4,218,"2024-03-15 09:00",,0.3,18.2,33,1,121.746394,24.747917,65
陽明,臺北市,54,細懸浮微粒,普通,1.3,0.25,51.8,54.7,19,19,1.8,2.3,0.4,1.8,180,"2024-03-15 09:00",,0.2,16.6,25,1,121.529583,25.182722,64
花蓮,花蓮縣,55,細懸浮微粒,普通,0.5,0.3,22.7,21.6,31,18,6.3,8.3,1.9,1.8,210,"2024-03-15 09:00",,0.2,17,23,0,121.599769,23.971306,63
臺東,臺東縣,57,細懸浮微粒,普通,0.5,0.38,35.4,42.5,43,17,10.2,11.3,1.1,0.2,318,"2024-03-15 09:00",,0.2,17.9,39,0,121.15045,22.755358,62
恆春,屏東縣,67,臭氧八小時,普通,1.6,0.2,58.4,60.6,25,14,1,1.7,0.6,7,40,"2024-03-15 09:00",,0.2,14.8,27,1,120.788928,21.958069,61
潮州,屏東縣,91,細懸浮微粒,普通,1.9,0.41,43.7,29.5,83,32,8.5,10.6,2.1,1.6,305,"2024-03-15 09:00",,0.4,31.6,62,1,120.561175,22.523108,60
屏東,屏東縣,106,細懸浮微粒,對敏感族群不健康,2.6,0.59,34.8,29.0,75,34,17.3,21.3,3.9,0.6,269,"2024-03-15 09:00",,0.4,37.4,72,2,120.488033,22.673081,59
小港,高雄市,118,細懸浮微粒,對敏感族群不健康,1.8,0.5,39.9,32.2,76,40,25.5,32.4,6.9,1.2,307,"2024-03-15 09:00",,0.5,42.2,77,2,120.337736,22.565833,58
前鎮,高雄市,125,細懸浮微粒,對敏感族群不健康,2.8,0.73,48.2,22.9,79,36,22.4,26.3,3.8,0.2,338,"2024-03-15 09:00",,0.6,44.7,91,2,120.30833356,22.6044507,57
前金,高雄市,147,細懸浮微粒,對敏感族群不健康,3,0.75,43.1,19.7,95,48,25.2,29,3.7,1.5,207,"2024-03-15 09:00",,0.5,53.2,102,1,120.28676111,22.63390278,56
左營,高雄市,151,細懸浮微粒,對所有族群不健康,3.2,0.76,41.5,19.1,83,50,28.8,33.7,4.8,0.7,140,"2024-03-15 09:00",,0.5,54.7,92,1,120.292917,22.674861,54
楠梓,高雄市,130,細懸浮微粒,對敏感族群不健康,1.6,0.69,29.1,17.7,101,42,31.4,38.5,7,0.5,332,"2024-03-15 09:00",,0.4,46.5,88,1,120.328289,22.733667,53
林園,高雄市,127,細懸浮微粒,對敏感族群不健康,3,0.48,42.7,27.8,89,43,11,12.9,1.8,1.5,118,"2024-03-15 09:00",,0.4,45.4,90,1,120.41175,22.4795,52
大寮,高雄市,133,細懸浮微粒,對敏感族群不健康,6.8,0.48,40.3,24.2,85,43,18.9,23.9,5,1.2,89,"2024-03-15 09:00",,0.4,47.8,80,7,120.425311,22.56413611,51
鳳山,高雄市,120,細懸浮微粒,對敏感族群不健康,3,0.68,43.5,31.1,117,34,17,19.6,2.5,0.8,141,"2024-03-15 09:00",,0.5,42.9,90,2,120.357422,22.628126,50
仁武,高雄市,151,細懸浮微粒,對所有族群不健康,4,0.62,42.8,13.8,88,52,23.1,26.6,3.5,1.1,89,"2024-03-15 09:00",,0.5,55.1,91,1,120.332631,22.689056,49
橋頭,高雄市,138,細懸浮微粒,對敏感族群不健康,1.6,0.55,25.3,12.9,74,47,24.3,30.9,6.5,1.3,277,"2024-03-15 09:00",,0.4,49.7,80,1,120.305689,22.757506,48
美濃,高雄市,90,細懸浮微粒,普通,1.4,0.42,49.3,37.7,63,31,9,10.5,1.4,1,154,"2024-03-15 09:00",,0.3,31.5,58,0,120.530542,22.883583,47
臺南,臺南市,155,細懸浮微粒,對所有族群不健康,2.4,0.83,13.7,7.8,131,85,30.1,46.5,16.4,1.3,8,"2024-03-15 09:00",,0.5,62.1,108,1,120.21947897,22.98928311,46
安南,臺南市,156,細懸浮微粒,對所有族群不健康,2.1,0.63,13.5,9.3,108,75,23.4,35.1,11.6,1.3,32,"2024-03-15 09:00",,0.4,64.7,95,1,120.2175,23.048197,45
善化,臺南市,145,細懸浮微粒,對敏感族群不健康,3.8,0.45,18.5,10.3,112,66,14.2,20.3,6,2,35,"2024-03-15 09:00",,0.4,52.6,98,1,120.29740529,23.11337642,44
新營,臺南市,152,細懸浮微粒,對所有族群不健康,2.1,0.43,20.7,10.3,90,59,15.9,21.1,5.1,1.4,36,"2024-03-15 09:00",,0.4,56.2,89,1,120.31725,23.305633,43
嘉義,嘉義市,153,細懸浮微粒,對所有族群不健康,2.3,0.56,17.1,9.8,91,64,19.9,27.6,7.6,1.8,53,"2024-03-15 09:00",,0.4,58.7,88,2,120.44125148,23.46477865,42
臺西,雲林縣,73,細懸浮微粒,普通,1.4,0.29,30.1,31.1,81,31,8.9,10.6,1.7,3.6,45,"2024-03-15 09:00",,0.2,24.5,69,1,120.19933333,23.702175,41
朴子,嘉義縣,128,細懸浮微粒,對敏感族群不健康,2.3,0.45,21.6,17.1,101,56,11.1,33.2,22.1,0.9,13,"2024-03-15 09:00",,0.3,46,85,2,120.2478,23.46538,40
新港,嘉義縣,134,細懸浮微粒,對敏感族群不健康,2.2,0.44,21.4,14.9,102,60,17.1,22.8,5.6,1.9,17,"2024-03-15 09:00",,0.4,48.1,92,2,120.345531,23.554839,39
崙背,雲林縣,111,細懸浮微粒,對敏感族群不健康,1.6,0.36,27.4,20.5,94,56,10.5,12.9,2.3,1.9,116,"2024-03-15 09:00",,0.3,39.2,85,1,120.348742,23.757547,38
斗六,雲林縣,152,細懸浮微粒,對所有族群不健康,1.9,0.42,15.9,8.3,91,53,16,24.1,8.1,1.1,350,"2024-03-15 09:00",,0.3,55.8,93,1,120.544994,23.711853,37
南投,南投縣,90,細懸浮微粒,普通,1,0.52,14.2,5.6,63,39,13.9,21.2,7.3,0.2,196,"2024-03-15 09:00",,0.4,31.5,53,0,120.685306,23.913,36
二林,彰化縣,102,細懸浮微粒,對敏感族群不健康,1,0.32,30.7,25.5,94,42,11.2,13.5,2.2,2.3,32,"2024-03-15 09:00",,0.3,35.9,78,1,120.409653,23.925175,35
線西,彰化縣,77,細懸浮微粒,普通,1.2,0.32,26.5,28.4,68,29,13.5,16.2,2.6,0.8,35,"2024-03-15 09:00",,0.2,26,63,2,120.469061,24.131672,34
彰化,彰化縣,92,細懸浮微粒,普通,1.6,0.49,23.3,19.9,65,42,16.8,20.1,3.3,0.6,109,"2024-03-15 09:00",,0.3,32.2,65,1,120.541519,24.066,33
西屯,臺中市,107,細懸浮微粒,對敏感族群不健康,2.2,0.59,17.6,21.0,83,48,25.5,32.5,6.9,0.5,13,"2024-03-15 09:00",,0.3,37.9,71,1,120.616917,24.162197,32
忠明,臺中市,105,細懸浮微粒,對敏感族群不健康,2.1,0.79,16.1,22.0,69,35,23.6,30.7,7.1,0.3,39,"2024-03-15 09:00",,0.4,37.2,72,1,120.641092,24.151958,31
