SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,43,,良好,,,,,,,,,,,,,2020-06-17 18:00,13,25,,121.760056,25.129167,1
汐止,新北市,104,臭氧八小時,對敏感族群不健康,1.6,0.38,0.3,49,72,34,17,20,23,2.6,1.6,76,2020-06-17 18:00,13,29,2,121.6423,25.067131,2
萬里,新北市,54,臭氧八小時,普通,2.3,0.21,0.2,53,56,30,11,4.8,5.4,0.6,0.7,311,2020-06-17 18:00,10,20,2,121.689881,25.179667,3
新店,新北市,74,臭氧八小時,普通,1.9,0.18,0.2,47,62,23,9,10,11,0.4,2.1,292,2020-06-17 18:00,10,25,2,121.537778,24.977222,4
土城,新北市,74,臭氧八小時,普通,1.6,0.29,0.2,42,62,25,11,13,16,2.6,2.6,257,2020-06-17 18:00,10,28,2,121.451861,24.982528,5
板橋,新北市,54,臭氧八小時,普通,3.4,0.24,0.2,41,56,25,8,11,11,0.7,4.2,263,2020-06-17 18:00,10,25,3,121.458667,25.012972,6
新莊,新北市,71,臭氧八小時,普通,2.1,0.21,0.2,43,61,21,8,9.2,9.7,0.6,4,237,2020-06-17 18:00,10,25,5,121.4325,25.037972,7
菜寮,新北市,44,,良好,2.5,0.33,0.3,31,48,29,12,15,18,2.7,2.9,252,2020-06-17 18:00,11,27,3,121.481028,25.06895,8
林口,新北市,47,,良好,,0.17,0.2,30,51,22,6,8.7,11,2.1,4.6,256,2020-06-17 18:00,9,24,2,121.376869,25.077197,9
淡水,新北市,43,,良好,1,0.1,0.1,35,46,14,7,5.2,5.2,0,,,2020-06-17 18:00,7,21,2,121.449239,25.1645,10
士林,臺北市,71,臭氧八小時,普通,2.4,0.22,0.2,35,61,28,7,12,15,2.5,2.7,299,2020-06-17 18:00,11,31,3,121.515389,25.105417,11
中山,臺北市,46,,良好,2.1,0.79,0.5,28,50,29,9,26,38,12,2.5,274,2020-06-17 18:00,10,28,3,121.526528,25.062361,12
萬華,臺北市,58,臭氧八小時,普通,1.9,0.48,0.3,37,57,27,11,16,18,2.5,2,276,2020-06-17 18:00,10,26,2,121.507972,25.046503,13
古亭,臺北市,80,臭氧八小時,普通,1.6,0.3,0.2,44,64,25,9,14,15,1.5,2.5,287,2020-06-17 18:00,11,26,2,121.529556,25.020608,14
松山,臺北市,64,臭氧八小時,普通,2,0.47,0.3,34,59,29,12,23,32,8.7,3.1,248,2020-06-17 18:00,12,28,2,121.578611,25.05,15
大同,臺北市,38,,良好,2.9,1.68,1.2,-,,32,7,28,51,22,,,2020-06-17 18:00,12,32,3,121.513311,25.0632,16
桃園,桃園市,36,,良好,1.4,0.3,0.2,24,39,19,10,13,15,2.2,1.3,243,2020-06-17 18:00,9,20,2,121.304383,24.995368,17
大園,桃園市,34,,良好,0.7,0.14,0.1,28,37,15,ND,2.2,4.6,2.5,5.4,231,2020-06-17 18:00,5,19,2,121.201811,25.060344,18
觀音,桃園市,25,,良好,1.3,0.1,0.1,26,27,13,2,1.9,2.4,0.5,6.2,240,2020-06-17 18:00,4,17,2,121.082761,25.035503,19
平鎮,桃園市,34,,良好,1.9,0.21,0.2,25,37,30,8,8.5,10,2,2.8,249,2020-06-17 18:00,9,34,2,121.203986,24.952786,20
龍潭,桃園市,47,,良好,1.4,0.19,0.2,35,51,21,9,7.1,9.8,2.8,4.6,232,2020-06-17 18:00,8,20,2,121.21635,24.863869,21
湖口,新竹縣,31,,良好,2,0.1,0.1,29,34,16,7,2.4,3.6,1.2,4.9,224,2020-06-17 18:00,6,20,3,121.038653,24.900142,22
竹東,新竹縣,44,,良好,1.7,0.21,0.2,33,47,21,6,5.5,7.2,1.8,2.3,219,2020-06-17 18:00,8,19,1,121.088903,24.740644,23
新竹,新竹市,30,,良好,0.3,0.17,0.2,28,32,20,8,5,6.1,1.2,4.9,249,2020-06-17 18:00,8,24,2,120.972075,24.805619,24
頭份,苗栗縣,29,,良好,2.2,0.17,0.1,21,31,8,4,7.9,11,2.6,4.7,243,2020-06-17 18:00,6,18,3,120.898572,24.696969,25
苗栗,苗栗縣,22,,良好,2.8,0.28,0.2,16,24,23,2,6.6,8.3,1.7,2.8,216,2020-06-17 18:00,4,16,2,120.8202,24.565269,26
三義,苗栗縣,31,,良好,2.5,0.13,0.1,24,34,17,3,7.7,11,3,3.2,197,2020-06-17 18:00,5,20,2,120.758833,24.382942,27
豐原,臺中市,40,,良好,3.4,0.31,0.2,30,43,21,3,14,22,7.8,3.9,215,2020-06-17 18:00,5,19,2,120.741711,24.256586,28
沙鹿,臺中市,27,,良好,1.8,0.14,0.1,24,29,11,5,5.9,9,3.1,3.1,207,2020-06-17 18:00,4,11,2,120.568794,24.225628,29
大里,臺中市,35,,良好,3.1,0.29,0.2,30,38,21,5,9.8,12,2.6,3,258,2020-06-17 18:00,7,19,3,120.677689,24.099611,30
忠明,臺中市,30,,良好,2.3,0.26,0.2,23,32,19,4,11,15,3.2,2.3,253,2020-06-17 18:00,5,15,2,120.641092,24.151958,31
西屯,臺中市,31,,良好,1.9,0.14,0.1,29,34,13,3,5.6,6.6,1.1,2.8,231,2020-06-17 18:00,3,14,2,120.616917,24.162197,32
彰化,彰化縣,30,,良好,2.3,0.18,0.1,25,32,14,2,5.4,8.3,2.8,2.4,247,2020-06-17 18:00,2,13,3,120.541519,24.066,33
線西,彰化縣,26,,良好,2.2,0.13,0.1,28,28,11,2,3,5.8,2.8,4.1,236,2020-06-17 18:00,2,14,2,120.469061,24.131672,34
二林,彰化縣,24,,良好,2.2,0.12,0.1,22,26,19,ND,5.9,8.5,2.6,2.8,244,2020-06-17 18:00,3,18,2,120.409653,23.925175,35
