編號,國文,英文,數學,自然,社會
A0001,59,89,75,94,93
A0002,72,88,71,85,55
A0003,59,98,51,96,62
A0004,67,95,94,90,76
A0005,54,67,94,86,61
A0006,97,60,65,68,93
A0007,57,57,61,62,57
A0008,93,73,71,66,80
A0009,52,92,93,74,99
A00010,60,96,58,81,60
A00011,85,83,89,80,81
A00012,81,87,87,65,81
A00013,67,75,86,54,83
A00014,84,72,83,71,75
A00015,61,79,78,75,54
A00016,92,56,100,51,63
A00017,67,56,58,53,71
A00018,97,68,73,82,50
A00019,95,62,74,66,58
A00020,90,60,91,64,77
A00021,96,64,93,89,76
A00022,90,67,67,55,51
A00023,91,59,73,55,75
A00024,54,84,76,67,87
A00025,87,64,96,50,65
A00026,75,67,60,52,62
A00027,85,68,60,71,89
A00028,99,70,74,64,53
A00029,84,100,90,72,71
A00030,52,71,69,60,97
A00031,55,61,60,57,65
A00032,78,97,79,64,89
A00033,57,61,60,53,53
A00034,77,98,60,51,95
A00035,70,72,93,84,60
A00036,98,88,98,94,78
A00037,66,92,70,81,57
A00038,75,71,52,86,64
A00039,67,51,74,81,57
A00040,77,87,87,78,80
A00041,73,53,98,85,52
A00042,57,75,78,76,57
A00043,58,58,76,69,91
A00044,74,66,96,77,96
A00045,100,79,83,51,99
A00046,68,89,67,62,75
A00047,70,71,70,55,64
A00048,66,86,83,68,75
A00049,94,62,75,83,73
A00050,62,98,57,91,84
