statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
106,新北市板橋區,551480,23.1373,23835
106,新北市三重區,387484,16.317,23747
106,新北市中和區,413590,20.144,20532
106,新北市永和區,222585,5.7138,38956
106,新北市新莊區,416524,19.7383,21102
106,新北市新店區,302089,120.2255,2513
106,新北市樹林區,184149,33.1288,5559
106,新北市鶯歌區,86593,21.1248,4099
106,新北市三峽區,114926,191.4508,600
106,新北市淡水區,169597,70.6565,2400
106,新北市汐止區,199321,71.2354,2798
106,新北市瑞芳區,40353,70.7336,570
106,新北市土城區,238067,29.5578,8054
106,新北市蘆洲區,201309,7.4351,27075
106,新北市五股區,84919,34.8632,2436
106,新北市泰山區,78911,19.1603,4118
106,新北市林口區,106101,54.1519,1959
106,新北市深坑區,23660,20.5787,1150
106,新北市石碇區,7683,144.3498,53
106,新北市坪林區,6528,170.835,38
106,新北市三芝區,23200,65.9909,352
106,新北市石門區,12286,51.2645,240
106,新北市八里區,38493,39.4933,975
106,新北市平溪區,4719,71.3382,66
106,新北市雙溪區,8939,146.2484,61
106,新北市貢寮區,12552,99.9734,126
106,新北市金山區,22015,49.2132,447
106,新北市萬里區,22296,63.3766,352
106,新北市烏來區,6320,321.1306,20
106,臺北市松山區,206988,9.2878,22286
106,臺北市信義區,225753,11.2077,20143
106,臺北市大安區,309969,11.3614,27283
106,臺北市中山區,230710,13.6821,16862
106,臺北市中正區,159608,7.6071,20981
106,臺北市大同區,129278,5.6815,22754
106,臺北市萬華區,191850,8.8522,21673
106,臺北市文山區,274424,31.509,8709
106,臺北市南港區,122155,21.8424,5593
106,臺北市內湖區,287771,31.5787,9113
106,臺北市士林區,288295,62.3682,4622
106,臺北市北投區,256456,56.8216,4513
106,桃園市桃園區,440840,34.8046,12666
106,桃園市中壢區,405216,76.52,5296
106,桃園市大溪區,94451,105.1206,899
106,桃園市楊梅區,167639,89.1229,1881
106,桃園市蘆竹區,161912,75.5025,2144
106,桃園市大園區,89281,87.3925,1022
106,桃園市龜山區,157633,72.0177,2189
106,桃園市八德區,198074,33.7111,5876
106,桃園市龍潭區,121822,75.2341,1619
106,桃園市平鎮區,224219,47.7532,4695
106,桃園市新屋區,48953,85.0166,576
106,桃園市觀音區,66472,87.9807,756
106,桃園市復興區,11505,350.7775,33
106,臺中市中區,18450,0.8803,20959
106,臺中市東區,75811,9.2855,8164
106,臺中市南區,125067,6.8101,18365
106,臺中市西區,115627,5.7042,20271
106,臺中市北區,147653,6.9376,21283
106,臺中市西屯區,227043,39.8467,5698
106,臺中市南屯區,168760,31.2578,5399
106,臺中市北屯區,274819,62.7034,4383
106,臺中市豐原區,166879,41.1845,4052
106,臺中市東勢區,50714,117.4065,432
106,臺中市大甲區,77761,58.5192,1329
106,臺中市清水區,86420,64.1709,1347
106,臺中市沙鹿區,92645,40.4604,2290
106,臺中市梧棲區,57993,16.6049,3493
106,臺中市后里區,54482,58.9439,924
106,臺中市神岡區,65553,35.0445,1871
106,臺中市潭子區,108288,25.8497,4189
106,臺中市大雅區,95203,32.4109,2937
106,臺中市新社區,24754,68.8874,359
106,臺中市石岡區,15066,18.2105,827
106,臺中市外埔區,32185,42.4099,759
106,臺中市大安區,19303,27.4045,704
106,臺中市烏日區,74554,43.4032,1718
106,臺中市大肚區,57322,37.0024,1549
106,臺中市龍井區,77818,38.0377,2046
106,臺中市霧峰區,65393,98.0779,667
106,臺中市太平區,189066,120.7473,1566
106,臺中市大里區,211492,28.8758,7324
106,臺中市和平區,10949,1037.8192,11
106,臺南市新營區,77966,38.5386,2023
106,臺南市鹽水區,25583,52.2455,490
106,臺南市白河區,28520,126.4046,226
106,臺南市柳營區,21365,61.2929,349
106,臺南市後壁區,23718,72.2189,328
106,臺南市東山區,21049,124.9178,169
106,臺南市麻豆區,44603,53.9744,826
106,臺南市下營區,24239,33.5291,723
106,臺南市六甲區,22275,67.5471,330
106,臺南市官田區,21448,70.7953,303
106,臺南市大內區,9761,70.3125,139
106,臺南市佳里區,59380,38.9422,1525
106,臺南市學甲區,26078,53.9919,483
106,臺南市西港區,24758,33.7666,733
106,臺南市七股區,22974,110.1492,209
106,臺南市將軍區,19849,41.9796,473
106,臺南市北門區,11188,44.1003,254
106,臺南市新化區,43630,62.0579,703
106,臺南市善化區,48386,55.3097,875
106,臺南市新市區,36574,47.8096,765
106,臺南市安定區,30564,31.27,977
106,臺南市山上區,7314,27.878,262
106,臺南市玉井區,14151,76.3662,185
106,臺南市楠西區,9717,109.6316,89
106,臺南市南化區,8787,171.5198,51
106,臺南市左鎮區,4876,74.9025,65
106,臺南市仁德區,75518,50.7664,1488
106,臺南市歸仁區,68424,55.7913,1226
106,臺南市關廟區,34433,53.6413,642
106,臺南市龍崎區,4038,64.0814,63
106,臺南市永康區,233905,40.2753,5808
106,臺南市東區,186841,13.4156,13927
106,臺南市南區,125394,27.2681,4599
106,臺南市北區,132726,10.434,12721
106,臺南市安南區,192224,107.2016,1793
106,臺南市安平區,66496,11.0663,6009
106,臺南市中西區,77770,6.26,12423
106,高雄市鹽埕區,24219,1.4161,17103
106,高雄市鼓山區,139259,14.7523,9440
106,高雄市左營區,197072,19.3823,10168
106,高雄市楠梓區,183751,25.8276,7115
