SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,57,細懸浮微粒,普通,2.2,0.21,0.3,51.2,30,23,19,5.5,6.7,1.1,1.9,81,2021/08/22 13:00:00,18,24,1,121.760056,25.129167,1
汐止,新北市,67,細懸浮微粒,普通,2.1,0.32,0.3,72.8,34,35,28,9.9,10.2,0.2,1.6,284,2021/08/22 13:00:00,21,33,2,121.6423,25.067131,2
萬里,新北市,46,,良好,1.9,0.18,0.1,55.6,33,38,16,5.2,6.1,0.9,3.5,22,2021/08/22 13:00:00,14,26,1,121.689881,25.179667,3
新店,新北市,51,細懸浮微粒,普通,1.7,0.27,0.2,61.1,31,29,19,6.6,7.5,0.8,3.4,358,2021/08/22 13:00:00,15,25,1,121.537778,24.977222,4
土城,新北市,52,細懸浮微粒,普通,2.5,0.3,0.3,58.8,29,27,20,6.1,6.6,0.5,2.4,334,2021/08/22 13:00:00,16,31,1,121.451861,24.982528,5
板橋,新北市,55,細懸浮微粒,普通,2.7,0.28,0.3,53.7,29,31,19,7.3,8.4,1.1,3.2,334,2021/08/22 13:00:00,17,29,2,121.458667,25.012972,6
新莊,新北市,61,細懸浮微粒,普通,1.8,0.17,0.3,46.8,24,29,15,8.4,10.6,2.1,3.4,18,2021/08/22 13:00:00,19,30,2,121.4325,25.037972,7
菜寮,新北市,65,細懸浮微粒,普通,3.3,0.2,0.4,48,29,21,18,7.4,9,1.6,3.8,299,2021/08/22 13:00:00,21,31,1,121.481028,25.06895,8
林口,新北市,54,細懸浮微粒,普通,2.3,0.12,0.2,43.9,24,23,11,3.8,4.4,0.6,3.7,340,2021/08/22 13:00:00,16,23,2,121.376869,25.077197,9
淡水,新北市,47,,良好,1.2,0.11,0.2,36.7,20,15,12,3.1,3.7,0.5,1.2,320,2021/08/22 13:00:00,14,22,1,121.449239,25.1645,10
士林,臺北市,58,細懸浮微粒,普通,2,0.16,0.2,48.9,28,27,16,6.6,7.6,1,4.1,300,2021/08/22 13:00:00,18,38,1,121.515389,25.105417,11
中山,臺北市,65,細懸浮微粒,普通,2.3,0.31,0.4,49.4,30,24,16,9.1,11.9,2.8,4.2,4,2021/08/22 13:00:00,21,32,1,121.526528,25.062361,12
萬華,臺北市,58,細懸浮微粒,普通,2.8,0.3,0.3,49,31,20,15,11.9,13.7,1.8,2.4,28,2021/08/22 13:00:00,18,26,1,121.507972,25.046503,13
