國文,英文,數學,自然,社會
72,69,51,78,74
87,51,86,57,52
53,58,71,96,96
66,53,54,78,91
93,74,95,91,93
75,97,76,85,50
100,82,92,86,67
94,53,54,69,63
71,71,92,56,60
91,55,65,55,98
91,55,66,54,78
70,82,59,90,51
93,83,87,89,94
50,98,62,59,58
82,74,72,87,91
96,75,54,71,85
53,100,57,60,81
100,51,61,95,60
91,63,76,79,56
91,58,72,67,69
73,76,97,63,91
62,71,77,100,87
100,57,61,93,100
54,67,76,77,61
96,62,98,90,59
87,83,85,76,66
94,95,95,76,51
96,93,70,69,85
85,98,100,63,51
62,52,77,59,98
52,78,63,86,87
72,92,87,70,88
97,75,99,52,73
79,100,60,83,54
85,58,98,80,75
88,51,70,50,56
87,94,80,88,100
62,50,70,83,60
51,97,87,50,88
84,54,85,96,81
77,62,86,97,89
80,67,56,84,90
56,79,77,52,50
93,75,57,87,55
98,57,82,81,55
77,61,60,99,53
68,50,63,57,75
85,78,94,67,56
74,72,55,68,63
98,64,89,90,65
