縣市,鄉鎮市區,儲匯局號,局名,聯絡電話,郵局地址,經度,緯度,ATM,具存款,具補摺,自動補摺機,提領200元,具視障語音,是否為局外ATM,縣市排序代號
基隆市,七堵區,,基隆商工--側門旁,(02)2421-0148,東新街22號,121.717277,25.094857,O,,,O,,,局外,0
基隆市,七堵區,,基隆監理站--服務台旁,(02)2421-0148,實踐路296號,121.696231,25.08828,O,,,O,,,局外,0
基隆市,七堵區,,陽明海運--會議室旁,(02)2421-0148,明德一路271號,121.432224,25.000008,O,,O,O,,,局外,0
基隆市,七堵區,,臺灣鐵路局七堵機務段--室內,(02)2421-0148,崇禮街1-4號,121.715455,25.09617,O,,,O,,,局外,0
基隆市,七堵區,,麗景天下社區--社區警衛室旁,(02)2421-0148,麗景一街2號,121.672499,25.086111,O,,,O,,,局外,0
基隆市,七堵區,001103-3,基隆七堵郵局,(02)2456-1286,基隆市七堵區明德一路171號,121.712767,25.097194,O,O,O,O,,,局內,0
基隆市,七堵區,001114-1,基隆六堵郵局,(02)2451-2153,基隆市七堵區工東街64號,121.703414,25.08838,O,,O,O,,,局內,0
基隆市,七堵區,001124-6,基隆百福郵局,(02)2451-2891,基隆市七堵區百五街93號,121.698014,25.084234,O,O,O,O,,,局內,0
基隆市,中山區,001105-1,基隆新民郵局,(02)2421-0158,基隆市中山區新民路19號,121.736323,25.130573,O,,O,O,,,局內,0
基隆市,中山區,001110-7,基隆中山郵局,(02)2421-0160,基隆市中山區中華路3號,121.738659,25.144871,O,,O,O,,,局內,0
基隆市,中山區,001122-9,基隆復興路郵局,(02)2437-8290,基隆市中山區復興路38號,121.726819,25.14179,O,O,O,O,,,局內,0
基隆市,中正區,,中船造船廠--警衛室旁,(02)2421-0148,和一路224號,121.432224,25.000008,O,,,O,,,局外,0
基隆市,中正區,,海洋大學工學院--工學院大樓入口右側,(02)2421-0148,北寧路2號,121.772388,25.150867,O,,O,O,,,局外,0
基隆市,中正區,,海洋大學男三舍--餐廳旁,(02)2421-0148,北寧路2號,121.772388,25.150867,O,,O,O,,,局外,0
基隆市,中正區,,海洋大學食品館--大門左側,(02)2421-0148,北寧路2號,121.772388,25.150867,O,,O,O,,,局外,0
基隆市,中正區,,基隆海事學校--2樓實習輔導處旁,(02)2421-0148,祥豐街246號,121.771666,25.148055,O,,,O,,,局外,0
基隆市,中正區,,基隆港務分公司大樓--1樓樓梯右側,(02)2421-0148,中正路1號,121.743611,25.131944,O,,,O,,,局外,0
基隆市,中正區,001101-6,基隆港東郵局,(02)2421-0156,基隆市中正區中正路56號,121.74559,25.134231,O,O,O,O,,,局內,0
基隆市,中正區,001104-7,基隆中正郵局,(02)2462-3324,基隆市中正區中正路393巷18號,121.7664,25.151176,O,,O,O,,,局內,0
基隆市,中正區,001106-4,基隆和平島郵局,(02)2462-2371,基隆市中正區和一路129號,121.765401,25.154916,O,O,O,O,,,局內,0
