sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101001,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-08 21:48:03,25.02605,121.5436,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,28,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:48:03,2023-05-08
500101002,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-08 21:46:04,25.02565,121.54357,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),21,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:46:04,2023-05-08
500101005,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-08 21:34:03,25.02153,121.54299,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,16,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:34:03,2023-05-08
500101007,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-08 21:10:08,25.02253,121.54326,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,11,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:10:08,2023-05-08
500101013,YouBike2.0_和平復興路口西北側,9,0,大安區,2023-05-08 21:23:04,25.02543,121.54332,復興南路二段236號,Daan Dist.,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),No. 236， Sec. 2， Fuxing S. Rd.,9,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:23:04,2023-05-08
500101021,YouBike2.0_銘傳國小側門,7,0,大安區,2023-05-08 21:41:04,25.01385,121.53549,羅斯福路四段21號旁天橋下,Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21， Sec. 4， Roosevelt Rd.,7,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:41:04,2023-05-08
500101025,YouBike2.0_臺灣科技大學側門,99,0,大安區,2023-05-08 21:45:05,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,99,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:45:05,2023-05-08
500101028,YouBike2.0_臺大醫學院附設癌醫中心,20,0,大安區,2023-05-08 21:12:04,25.01426,121.54382,基隆路三段155巷57號西側,Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West),20,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:12:04,2023-05-08
500101029,YouBike2.0_臺大環研大樓,15,0,大安區,2023-05-08 20:03:04,25.01234,121.54503,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 20:03:04,2023-05-08
500101034,YouBike2.0_臺大動物醫院前,18,0,大安區,2023-05-08 19:55:11,25.01576,121.54291,基隆路三段155巷/基隆路四段口,Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155， Sec. 3， Keelung Rd. Intersection,18,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 19:55:11,2023-05-08
