sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101006,YouBike2.0_復興南路二段280號前,11,0,大安區,2023-05-08 20:40:09,25.02429,121.54328,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,11,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:40:09,2023-05-08
500101013,YouBike2.0_和平復興路口西北側,9,0,大安區,2023-05-08 20:32:04,25.02543,121.54332,復興南路二段236號,Daan Dist.,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),No. 236， Sec. 2， Fuxing S. Rd.,9,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:32:04,2023-05-08
500101015,YouBike2.0_大安運動中心停車場,14,0,大安區,2023-05-08 20:38:04,25.020348,121.546446,敦南街76巷28號,Daan Dist.,YouBike2.0_Taipei Da-an Sports Center Parking lot,No. 28， Ln. 76， Dunnan St.,14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:38:04,2023-05-08
500101028,YouBike2.0_臺大醫學院附設癌醫中心,20,0,大安區,2023-05-08 20:10:09,25.01426,121.54382,基隆路三段155巷57號西側,Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West),20,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:10:09,2023-05-08
500101029,YouBike2.0_臺大環研大樓,15,0,大安區,2023-05-08 20:03:04,25.01234,121.54503,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:03:04,2023-05-08
500101034,YouBike2.0_臺大動物醫院前,18,0,大安區,2023-05-08 19:55:11,25.01576,121.54291,基隆路三段155巷/基隆路四段口,Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155， Sec. 3， Keelung Rd. Intersection,18,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:55:11,2023-05-08
500101037,YouBike2.0_臺大國青大樓宿舍前,20,0,大安區,2023-05-08 20:41:04,25.02076,121.54432,辛亥路三段30號西北側,Daan Dist.,YouBike2.0_NTU Guo - Ching Building,No. 30， Sec. 3， Xinhai Rd.(Northwest),20,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:41:04,2023-05-08
500101038,YouBike2.0_臺大社科院圖書館前,27,0,大安區,2023-05-08 20:37:04,25.02101,121.54284,辛亥路與復興南路口西南側,Daan Dist.,YouBike2.0_NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),27,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:37:04,2023-05-08
500101039,YouBike2.0_臺大法人語言訓練中心前,28,0,大安區,2023-05-08 20:16:04,25.02104,121.54081,臺大法人語言訓練中心北側,Daan Dist.,YouBike2.0_NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),28,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:16:04,2023-05-08
500101041,YouBike2.0_辛亥新生路口東南側,41,0,大安區,2023-05-08 20:15:05,25.02218,121.53474,辛亥新生路口東南側,Daan Dist.,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),41,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:15:05,2023-05-08
