證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","46,790,503","3,463,425,684","74.95","75.25","72.80","72.80","-2.05","23,021"
"0051","元大中型100","43,172","1,177,199","27.30","27.57","26.75","26.75","-0.52","45"
"0052","富邦科技","161,425","9,156,750","57.60","57.60","55.35","55.35","-2.35","67"
"0053","元大電子","35,076","1,163,448","33.36","33.61","32.56","32.69","-0.67","19"
"0054","元大台商50","27,028","507,569","18.80","19.00","18.64","18.64","-0.36","13"
"0055","元大MSCI金融","62,050","940,984","15.35","15.35","15.00","15.10","-0.32","52"
"0056","元大高股息","80,530,934","1,897,973,002","23.70","23.82","23.26","23.29","-0.38","35,938"
"0057","富邦摩台","20,011","967,537","48.35","48.35","48.35","48.35","-0.90","3"
"0061","元大寶滬深","5,889,414","103,296,868","17.30","18.50","16.90","17.93","+1.00","2,346"
"006203","元大MSCI台灣","7,000","242,470","34.98","34.98","34.52","34.52","-0.20","5"
"006204","永豐臺灣加權","7,000","327,600","47.17","47.17","46.63","46.63","-0.62","5"
"006205","富邦上証","2,176,076","61,949,579","28.38","28.58","28.18","28.22","-0.13","301"
"006206","元大上證50","602,582","17,703,772","29.15","29.60","29.15","29.24","+0.09","359"
"006207","FH滬深","241,250","5,335,510","21.95","22.28","21.93","21.95","+0.02","97"
"006208","富邦台50","1,366,482","58,018,386","43.80","43.80","41.55","41.55","-1.48","867"
"00625K","富邦上証+R","50,000","333,500","6.67","6.67","6.67","6.67","+0.04","2"
"00631L","元大台灣50正2","22,770,009","725,909,170","32.86","32.88","30.66","30.66","-2.22","6,348"
"00632R","元大台灣50反1","307,003,192","3,890,066,718","12.54","12.90","12.49","12.90","+0.41","26,210"
"00633L","富邦上証正2","22,471,500","823,578,024","36.40","37.38","35.89","35.89","-0.29","4,146"
"00634R","富邦上証反1","11,553,832","72,528,184","6.32","6.35","6.23","6.34","+0.02","1,106"
"00635U","元大S&P黃金","2,074,480","45,122,284","21.79","21.81","21.66","21.70","+0.34","679"
"00636","國泰中國A50","1,812,020","35,264,078","19.39","19.61","19.31","19.31","-0.08","522"
"00636K","國泰中國A50+U","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
