,國文,英文,數學,地理,歷史,總分,平均
1,79,87,92,69,66,393,78.6
2,92,60,62,64,73,351,70.2
3,79,99,61,91,75,405,81.0
4,61,80,63,60,60,324,64.8
5,75,94,90,73,96,428,85.6
6,88,92,60,71,91,402,80.4
7,83,69,67,64,82,365,73.0
8,88,82,76,95,71,412,82.4
9,68,79,60,80,92,379,75.8
10,77,92,95,68,99,431,86.2
11,72,67,61,84,99,383,76.6
12,66,87,88,93,90,424,84.8
13,73,78,92,90,72,405,81.0
14,76,90,75,68,69,378,75.6
15,98,66,66,98,76,404,80.8
16,98,85,79,72,63,397,79.4
17,70,92,74,61,87,384,76.8
18,85,61,93,99,66,404,80.8
19,98,91,83,95,87,454,90.8
20,81,71,98,82,67,399,79.8
21,74,74,64,60,70,342,68.4
22,85,69,67,85,95,401,80.2
23,78,99,99,60,77,413,82.6
24,98,60,83,92,72,405,81.0
25,81,73,82,98,94,428,85.6
26,85,69,87,83,73,397,79.4
27,83,99,69,86,80,417,83.4
28,87,62,88,62,81,380,76.0
29,82,73,78,92,68,393,78.6
30,89,71,86,70,73,389,77.8
31,94,69,68,94,76,401,80.2
32,70,79,81,70,96,396,79.2
33,76,65,73,60,86,360,72.0
34,83,76,66,88,88,401,80.2
35,65,62,79,78,86,370,74.0
36,65,70,99,61,70,365,73.0
37,60,69,83,84,72,368,73.6
38,96,81,88,93,73,431,86.2
39,82,85,87,78,79,411,82.2
40,87,68,86,99,67,407,81.4
41,66,65,61,68,64,324,64.8
42,84,66,96,78,93,417,83.4
43,96,66,66,82,92,402,80.4
44,71,85,94,77,69,396,79.2
45,74,87,73,70,95,399,79.8
46,98,71,87,85,71,412,82.4
47,62,79,94,73,74,382,76.4
48,91,93,88,73,96,441,88.2
49,60,74,61,95,64,354,70.8
50,78,97,89,84,70,418,83.6
