siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
84,富貴角,新北市,144,小時風向值,WD_HR,degrees,2022-09-24 12:00,37
84,富貴角,新北市,143,小時風速值,WS_HR,m/sec,2022-09-24 12:00,12.5
84,富貴角,新北市,38,相對濕度,RH,%,2022-09-24 12:00,77
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,13
84,富貴角,新北市,31,甲烷,CH4,ppm,2022-09-24 12:00,1.98
84,富貴角,新北市,23,雨量,RAINFALL,mm,2022-09-24 12:00,0.2
84,富貴角,新北市,17,大氣壓力,PRESSURE,hPa,2022-09-24 12:00,757
84,富貴角,新北市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,26.4
84,富貴角,新北市,11,風向,WIND_DIREC,degrees,2022-09-24 12:00,36
84,富貴角,新北市,10,風速,WIND_SPEED,m/sec,2022-09-24 12:00,13.3
84,富貴角,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-09-24 12:00,0
84,富貴角,新北市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,1.97
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,0.4
84,富貴角,新北市,6,一氧化氮,NO,ppb,2022-09-24 12:00,0
84,富貴角,新北市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,0.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,52
84,富貴角,新北市,3,臭氧,O3,ppb,2022-09-24 12:00,57.9
84,富貴角,新北市,2,一氧化碳,CO,ppm,2022-09-24 12:00,0.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,0.1
71,復興,高雄市,144,小時風向值,WD_HR,degrees,2022-09-24 12:00,265
71,復興,高雄市,143,小時風速值,WS_HR,m/sec,2022-09-24 12:00,0.2
71,復興,高雄市,38,相對濕度,RH,%,2022-09-24 12:00,66
71,復興,高雄市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,21
71,復興,高雄市,31,甲烷,CH4,ppm,2022-09-24 12:00,2
71,復興,高雄市,23,雨量,RAINFALL,mm,2022-09-24 12:00,0
71,復興,高雄市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,30.5
71,復興,高雄市,11,風向,WIND_DIREC,degrees,2022-09-24 12:00,286
71,復興,高雄市,10,風速,WIND_SPEED,m/sec,2022-09-24 12:00,0.6
71,復興,高雄市,9,非甲烷碳氫化合物,NMHC,ppm,2022-09-24 12:00,0.01
71,復興,高雄市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,2
71,復興,高雄市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,4.8
71,復興,高雄市,6,一氧化氮,NO,ppb,2022-09-24 12:00,0.5
71,復興,高雄市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,5.3
71,復興,高雄市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,36
71,復興,高雄市,3,臭氧,O3,ppb,2022-09-24 12:00,77.8
71,復興,高雄市,2,一氧化碳,CO,ppm,2022-09-24 12:00,0.28
71,復興,高雄市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,1.5
70,永和,新北市,144,小時風向值,WD_HR,degrees,2022-09-24 12:00,84
70,永和,新北市,143,小時風速值,WS_HR,m/sec,2022-09-24 12:00,1.5
70,永和,新北市,38,相對濕度,RH,%,2022-09-24 12:00,84
