年別,類型,觀光遊憩區,細分,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,國家公園,陽明山國家公園,陽明山遊客中心,臺北市,12187,18612,18580,13329,14179,11397,16000,11791,10469,11515,6896,9631,154586
2012,國家公園,陽明山國家公園,陽明書屋,臺北市,2597,3617,5221,4317,3497,2815,3005,2497,2764,3701,2863,2983,39877
2012,國家公園,陽明山國家公園,陽明公園,臺北市,161000,463000,705200,85600,38600,28000,51700,44700,39000,36000,35000,33000,1720800
2012,國家公園,陽明山國家公園,大屯遊憩區,臺北市,17047,29079,38558,34332,43906,42586,63721,41881,51743,38214,27467,27306,455840
2012,國家公園,陽明山國家公園,龍鳳谷遊憩區,臺北市,21201,22134,62447,64691,16243,15811,15787,16963,16176,18951,18136,19135,307675
2012,國家公園,陽明山國家公園,小油坑遊憩區,臺北市,20839,16853,24528,27840,18760,18184,25647,20332,22928,28958,19923,21417,266209
2012,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,83806,59526,63451,71541,64384,19312,34755,17392,25217,39252,53688,50449,582773
2012,國家公園,玉山國家公園,梅山遊客中心,高雄市,4846,1854,1190,1849,1092,0,0,0,6,651,27,19,11534
2012,國家公園,玉山國家公園,南安遊客中心,花蓮縣,37578,19373,21987,20037,18384,12088,24176,16894,23817,22601,23157,20602,260694
2012,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,13262,9460,9322,10362,10233,10338,13533,10098,9042,9670,10719,16931,132970
2012,國家公園,玉山國家公園,排雲山莊,南投縣,371,80,376,1476,1511,979,1868,643,1548,2128,2173,966,14119
2012,國家公園,雪霸國家公園,汶水遊客中心,苗栗縣,21972,23322,10533,25229,32036,26862,29115,19416,18005,27981,39199,30317,303987
2012,國家公園,雪霸國家公園,觀霧遊客中心,苗栗縣,5147,1954,1983,2239,4087,2289,15669,1143,4725,4598,4762,3977,52573
2012,國家公園,雪霸國家公園,雪見遊憩區,苗栗縣,18647,10465,7592,9731,9615,4638,5304,1655,2220,3380,4492,2907,80646
2012,國家公園,雪霸國家公園,武陵遊客中心,臺中市,22581,52952,20895,11503,9799,7707,24053,5444,7090,9280,20355,13979,205638
2012,國家公園,墾丁國家公園,墾丁國家公園管理處遊客中心,屏東縣,7294,13380,14342,17822,4326,14930,18685,11390,10466,19945,14169,10584,157333
2012,國家公園,墾丁國家公園,鵝鑾鼻公園,屏東縣,97983,71121,124795,132621,150078,105592,140841,144874,94828,135955,118468,124173,1441329
2012,國家公園,墾丁國家公園,貓鼻頭公園,屏東縣,110013,120006,219938,245203,264562,171297,193272,201073,154367,217072,225214,248262,2370279
2012,國家公園,墾丁國家公園,佳樂水,屏東縣,23130,12348,7851,13659,13244,11419,22364,14583,1614,23319,9414,10308,163253
2012,國家公園,墾丁國家公園,社頂自然公園,屏東縣,35168,29869,50254,55719,60217,40673,51299,50439,34357,53778,50352,54440,566565
2012,國家公園,墾丁國家公園,南灣遊憩區,屏東縣,14273,11435,12042,12037,28331,33942,66187,38282,25641,25301,13860,12343,293674
2012,國家公園,墾丁國家公園,龍鑾潭自然中心,屏東縣,9461,5519,5002,8260,8258,7796,8824,5449,7433,10356,10464,8102,94924
2012,國家公園,墾丁國家公園,砂島貝殼砂展示館,屏東縣,11011,5899,7080,14045,11460,11220,15020,14302,11618,12745,8285,10100,132785
2012,國家公園,太魯閣國家公園,太魯閣國家公園遊客中心,花蓮縣,38084,49818,50077,65072,49089,69406,97675,125203,76801,99535,117139,97284,935183
2012,國家公園,太魯閣國家公園,布洛灣遊憩區,花蓮縣,49002,47216,37872,54038,42751,42106,71392,38338,42918,47875,46417,37951,557876
2012,國家公園,太魯閣國家公園,臺八線沿線景觀區,花蓮縣,257658,227447,264916,328684,310066,230021,294889,157572,217592,301852,385195,361965,3337857
2012,國家公園,金門國家公園,中山林遊客中心,金門縣,6761,6724,10335,13070,14359,14359,21490,15499,11421,13293,10023,8238,145572
2012,國家公園,金門國家公園,翟山坑道,金門縣,17774,18470,34199,50537,46596,37034,49735,38635,29552,45085,36941,26445,431003
2012,國家公園,金門國家公園,雙鯉溼地自然中心,金門縣,11135,10221,14807,19710,22814,23407,27285,20369,15966,20930,20756,13601,221001
2012,國家公園,金門國家公園,古寧頭戰史館,金門縣,13132,11486,13377,15945,20744,20145,28036,19053,16257,21420,17123,14997,211715
2012,國家公園,金門國家公園,九宮(四維)坑道,金門縣,6573,3625,6908,10529,12346,13663,15983,13057,10966,13055,8281,5677,120663
2012,國家公園,金門國家公園,八二三砲戰紀念館,金門縣,10169,6589,9375,11941,16970,15691,21600,17227,11865,13966,11567,9182,156142
2012,國家公園,金門國家公園,湖井頭戰史館,金門縣,6858,4692,8219,10852,14219,14106,17148,14088,11245,13729,9323,6373,130852
2012,國家公園,金門國家公園,金水學校,金門縣,9342,9552,14592,16860,18217,16339,23210,17392,14363,21359,18118,14789,194133
2012,國家公園,金門國家公園,蔣經國先生紀念館,金門縣,8641,8804,18566,22364,24564,18770,23083,17964,14556,21730,18388,14450,211880
2012,國家公園,金門國家公園,民俗文化村,金門縣,7604,5745,9113,10367,13885,13184,17713,14638,10939,13764,10982,7947,135881
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭港服務區,新北市,11500,9500,9000,10500,12000,11500,13000,13800,13000,10000,10660,8750,133210
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞灣公園,新北市,2684,1528,1814,2355,2890,4659,12331,7826,5105,2346,2046,1838,47422
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞南口海洋公園,新北市,969,539,616,659,1051,1854,9332,4668,3094,1391,1196,833,26202
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆遊客服務中心,新北市,54246,50091,52266,71303,191217,184438,163658,79261,71419,108249,73122,32973,1132243
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,大里遊客服務中心,宜蘭縣,30179,28503,19139,26266,28002,29031,28146,25199,20713,25549,54523,10101,325351
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍門露營區,新北市,1110,817,2348,3789,3502,4497,8404,3927,6321,9233,4551,2922,51421
2012,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鹽寮海濱公園,新北市,183,88,233,259,462,527,775,609,423,432,185,135,4311
