trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20200101,900,7552,8154
20200101,910,1020,1135
20200101,920,1623,1972
20200101,930,4130,4813
20200101,940,1818,2128
20200101,950,1293,1453
20200101,960,7817,9251
20200101,970,5307,6020
20200101,980,10725,9562
20200101,990,14870,12208
20200101,1000,74444,57279
20200101,1010,3941,3827
20200101,1020,23186,21471
20200101,1030,2216,2414
20200101,1040,13395,15180
20200101,1050,984,1223
20200101,1060,1558,1780
20200101,1070,8314,9315
20200101,1080,29182,32516
20200101,1090,7684,9783
20200101,1100,29229,33242
20200101,1110,4717,5362
20200101,1120,5114,5963
20200101,1130,1786,2019
20200101,1140,80,107
20200101,1150,608,851
20200101,1160,3532,4159
20200101,1170,5808,7360
20200101,1180,4785,5296
20200101,1190,1924,2015
20200101,1191,428,480
20200101,1192,1589,1949
20200101,1193,701,861
20200101,1194,3505,2544
20200101,1201,83,89
20200101,1202,645,163
20200101,1203,666,583
20200101,1204,114,137
20200101,1205,56,93
20200101,1206,144,203
20200101,1207,21,518
20200101,1208,1294,1154
20200101,1210,25068,27375
20200101,1220,929,1041
20200101,1230,593,669
20200101,1240,215,283
20200101,1250,8516,9140
20200101,2110,30,43
20200101,2120,95,111
20200101,2130,1399,2000
20200101,2140,18,21
20200101,2150,633,654
20200101,2160,94,91
20200101,2170,802,841
20200101,2180,1349,1549
20200101,2190,302,308
20200101,2200,3516,3413
20200101,2210,74,74
20200101,2220,1121,1060
20200101,2230,2923,3151
20200101,2240,431,406
20200101,2250,755,693
20200101,2260,3939,449
20200101,3140,278,294
20200101,3150,882,804
20200101,3160,5454,6106
20200101,3170,100,124
20200101,3180,918,1062
20200101,3190,802,837
20200101,3210,750,719
20200101,3220,3827,3407
20200101,3230,9622,9591
20200101,3240,636,647
20200101,3250,2679,2971
20200101,3260,471,492
20200101,3270,1096,1070
20200101,3280,3011,2903
20200101,3290,1219,1281
20200101,3300,36979,34662
20200101,3310,1278,1360
20200101,3320,2692,2634
20200101,3330,941,918
20200101,3340,9416,8204
20200101,3350,1013,4543
20200101,3360,15478,17570
20200101,3370,1321,1462
20200101,3380,992,1093
20200101,3390,8396,9287
20200101,3400,533,569
20200101,3410,1258,1207
20200101,3420,2796,2655
20200101,3430,1343,1219
20200101,3431,19,17
20200101,3432,206,191
20200101,3433,14,37
20200101,3434,780,766
20200101,3435,191,154
20200101,3436,861,940
20200101,3450,959,898
20200101,3460,219,268
20200101,3470,6556,7369
20200101,3480,2168,2285
20200101,3490,212,249
20200101,4050,1626,2189
20200101,4060,2019,2548
20200101,4070,764,787
20200101,4080,12112,11891
20200101,4090,773,886
20200101,4100,197,198
20200101,4110,571,548
20200101,4120,4884,5363
20200101,4130,770,1075
20200101,4140,493,516
20200101,4150,1670,1771
20200101,4160,157,225
20200101,4170,3491,3688
20200101,4180,981,1122
