編號,國文,英文,數學,自然,社會
1,90,63,86,98,72
2,62,76,50,87,97
3,63,79,76,66,64
4,94,68,51,98,66
5,72,92,87,67,57
6,50,63,94,70,57
7,64,83,70,53,75
8,56,96,88,99,67
9,75,84,66,64,57
10,81,90,77,90,71
11,86,85,75,93,67
12,92,85,71,57,62
13,57,84,66,68,68
14,100,60,72,87,87
15,81,68,96,80,56
16,73,55,60,88,63
17,89,52,54,87,75
18,92,86,77,66,91
19,81,82,60,81,89
20,100,89,60,57,80
21,78,87,70,94,91
22,56,51,75,90,78
23,67,97,68,55,76
24,56,78,96,89,75
25,69,67,95,75,52
26,88,59,64,87,65
27,86,64,97,81,67
28,92,91,87,58,99
29,99,99,93,69,96
30,54,97,58,98,100
31,64,55,83,73,59
32,58,72,69,91,61
33,76,96,76,80,95
34,85,53,85,80,77
35,96,56,100,61,96
36,96,88,65,81,53
37,100,72,57,86,88
38,50,98,79,96,86
39,92,52,63,98,85
40,76,91,58,74,91
41,98,96,84,61,62
42,59,82,96,77,94
43,54,52,56,70,93
44,53,85,92,69,50
45,53,63,75,77,90
46,82,51,95,64,80
47,63,71,81,90,95
48,57,99,68,96,87
49,65,96,59,68,89
50,95,100,99,65,94
