SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
臺南(北門),臺南市,26,,良好,0.6,0.12,0.1,33,28,23,7,1.4,1.5,0.1,0.9,221,2020-08-28 16:00,6,17,1,120.124444,23.264722,310
屏東(琉球),屏東縣,23,,良好,0.8,0.16,0.2,31,25,14,2,0.8,1.3,0.6,0.3,139,2020-08-28 16:00,4,17,1,120.377222,22.352222,204
臺南(麻豆),臺南市,25,,良好,0.6,0.14,0.2,33,27,17,8,2.7,3.9,1.2,3.1,182,2020-08-28 16:00,6,15,1,120.245831,23.179047,203
彰化(大城),彰化縣,28,,良好,1,0.13,0.1,31,30,7,5,1.8,4.4,2.6,3.4,217,2020-08-28 16:00,4,7,1,120.273117,23.843139,202
富貴角,新北市,31,,良好,0.3,0.16,0.2,40,33,21,5,1.1,1.2,0.1,2.6,243,2020-08-28 16:00,7,20,1,121.536763,25.298562,84
麥寮,雲林縣,24,,良好,2.6,0.19,0.2,26,26,10,ND,4.7,7.8,3.1,2.9,222,2020-08-28 16:00,,10,2,120.251825,23.753506,83
關山,臺東縣,18,,良好,2.6,-,,27,19,11,6,1.5,1.9,0.4,1.1,217,2020-08-28 16:00,4,12,3,121.161933,23.045083,80
馬公,澎湖縣,26,,良好,1.6,0.23,0.2,25,28,17,7,8.7,12,3.6,2,173,2020-08-28 16:00,6,19,1,119.566158,23.569031,78
金門,金門縣,43,,良好,3.6,0.22,0.2,59,43,25,18,4.4,5.1,0.7,5.3,186,2020-08-28 16:00,13,23,3,118.312256,24.432133,77
馬祖,連江縣,49,,良好,1.7,0.02,0.1,53,53,30,10,1,2.4,1.4,4.2,183,2020-08-28 16:00,9,22,2,119.949875,26.160469,75
埔里,南投縣,26,,良好,1.6,0.12,0.1,35,28,8,2,3.3,4.3,1,1.9,294,2020-08-28 16:00,3,11,2,120.967903,23.968842,72
復興,高雄市,31,,良好,1.5,0.14,0.3,22,21,18,11,7.5,10,2.9,1.2,227,2020-08-28 16:00,10,18,2,120.312017,22.608711,71
永和,新北市,42,,良好,4.6,0.51,1.1,41,45,19,10,20,25,5.3,2.2,65,2020-08-28 16:00,10,20,2,121.516306,25.017,70
竹山,南投縣,27,,良好,1.1,0.14,0.2,33,29,19,6,6.5,8.3,1.8,3.2,234,2020-08-28 16:00,3,16,1,120.677306,23.756389,69
中壢,桃園市,36,,良好,3.1,0.96,1.1,34,25,27,14,38,76,38,1.8,168,2020-08-28 16:00,10,24,3,121.221667,24.953278,68
三重,新北市,43,,良好,3,0.76,0.9,-,,35,16,39,67,28,,,2020-08-28 16:00,13,29,2,121.493806,25.072611,67
冬山,宜蘭縣,27,,良好,1,0.25,0.2,29,29,25,10,8.8,14,5.2,1.4,99,2020-08-28 16:00,7,21,1,121.792928,24.632203,66
宜蘭,宜蘭縣,32,,良好,2.5,0.22,0.2,37,35,16,6,2.7,3.7,1,2.4,92,2020-08-28 16:00,6,20,2,121.746394,24.747917,65
陽明,臺北市,33,,良好,1.9,0.18,0.1,47,36,25,10,3,4.1,1.2,,,2020-08-28 16:00,6,14,2,121.529583,25.182722,64
花蓮,花蓮縣,33,,良好,0.7,0.15,0.2,37,36,25,9,4.7,6.2,1.5,2.4,67,2020-08-28 16:00,9,24,2,121.599769,23.971306,63
