年度,縣市別,行業別,統計項目,單位,中小企業,大企業
2013,總計,農林漁牧業,銷售額,百萬元,21881,18381
2013,臺北市,農林漁牧業,銷售額,百萬元,1434,4911
2013,新北市,農林漁牧業,銷售額,百萬元,1446,1591
2013,桃園縣,農林漁牧業,銷售額,百萬元,1147,*
2013,臺中市,農林漁牧業,銷售額,百萬元,1338,751
2013,臺南市,農林漁牧業,銷售額,百萬元,1365,3309
2013,高雄市,農林漁牧業,銷售額,百萬元,7460,1965
2013,基隆市,農林漁牧業,銷售額,百萬元,138,0
2013,宜蘭縣,農林漁牧業,銷售額,百萬元,714,0
2013,新竹市,農林漁牧業,銷售額,百萬元,62,*
2013,新竹縣,農林漁牧業,銷售額,百萬元,218,*
2013,苗栗縣,農林漁牧業,銷售額,百萬元,326,*
2013,彰化縣,農林漁牧業,銷售額,百萬元,1482,631
2013,南投縣,農林漁牧業,銷售額,百萬元,892,*
2013,雲林縣,農林漁牧業,銷售額,百萬元,822,*
2013,嘉義市,農林漁牧業,銷售額,百萬元,115,0
2013,嘉義縣,農林漁牧業,銷售額,百萬元,742,1046
2013,屏東縣,農林漁牧業,銷售額,百萬元,1407,1611
2013,澎湖縣,農林漁牧業,銷售額,百萬元,96,0
2013,花蓮縣,農林漁牧業,銷售額,百萬元,244,0
2013,臺東縣,農林漁牧業,銷售額,百萬元,386,0
2013,金門縣,農林漁牧業,銷售額,百萬元,43,0
2013,連江縣,農林漁牧業,銷售額,百萬元,4,0
2013,總計,礦業及土石採取業,銷售額,百萬元,37180,10538
2013,臺北市,礦業及土石採取業,銷售額,百萬元,2001,4283
2013,新北市,礦業及土石採取業,銷售額,百萬元,3212,833
2013,桃園縣,礦業及土石採取業,銷售額,百萬元,1935,*
2013,臺中市,礦業及土石採取業,銷售額,百萬元,3047,*
2013,臺南市,礦業及土石採取業,銷售額,百萬元,822,0
2013,高雄市,礦業及土石採取業,銷售額,百萬元,1975,3258
2013,基隆市,礦業及土石採取業,銷售額,百萬元,5804,0
2013,宜蘭縣,礦業及土石採取業,銷售額,百萬元,2427,*
2013,新竹市,礦業及土石採取業,銷售額,百萬元,313,0
2013,新竹縣,礦業及土石採取業,銷售額,百萬元,2094,0
2013,苗栗縣,礦業及土石採取業,銷售額,百萬元,1386,*
2013,彰化縣,礦業及土石採取業,銷售額,百萬元,644,0
2013,南投縣,礦業及土石採取業,銷售額,百萬元,1954,0
2013,雲林縣,礦業及土石採取業,銷售額,百萬元,1121,0
2013,嘉義市,礦業及土石採取業,銷售額,百萬元,47,0
2013,嘉義縣,礦業及土石採取業,銷售額,百萬元,80,0
2013,屏東縣,礦業及土石採取業,銷售額,百萬元,1447,0
2013,澎湖縣,礦業及土石採取業,銷售額,百萬元,620,0
2013,花蓮縣,礦業及土石採取業,銷售額,百萬元,3293,711
2013,臺東縣,礦業及土石採取業,銷售額,百萬元,1167,0
2013,金門縣,礦業及土石採取業,銷售額,百萬元,1790,0
2013,連江縣,礦業及土石採取業,銷售額,百萬元,0,0
2013,總計,製造業,銷售額,百萬元,4074252,10294408
2013,臺北市,製造業,銷售額,百萬元,216400,1722064
2013,新北市,製造業,銷售額,百萬元,685564,785587
2013,桃園縣,製造業,銷售額,百萬元,501526,994068
2013,臺中市,製造業,銷售額,百萬元,688864,803322
2013,臺南市,製造業,銷售額,百萬元,441315,719001
2013,高雄市,製造業,銷售額,百萬元,431361,1326815
2013,基隆市,製造業,銷售額,百萬元,9847,13265
2013,宜蘭縣,製造業,銷售額,百萬元,62462,43573
2013,新竹市,製造業,銷售額,百萬元,59459,1273027
2013,新竹縣,製造業,銷售額,百萬元,77497,457179
2013,苗栗縣,製造業,銷售額,百萬元,131376,360401
2013,彰化縣,製造業,銷售額,百萬元,313879,514601
2013,南投縣,製造業,銷售額,百萬元,41744,66629
2013,雲林縣,製造業,銷售額,百萬元,242875,1075230
2013,嘉義市,製造業,銷售額,百萬元,21794,9119
2013,嘉義縣,製造業,銷售額,百萬元,85975,41092
2013,屏東縣,製造業,銷售額,百萬元,43385,61841
2013,澎湖縣,製造業,銷售額,百萬元,491,0
2013,花蓮縣,製造業,銷售額,百萬元,13912,8595
2013,臺東縣,製造業,銷售額,百萬元,3390,*
2013,金門縣,製造業,銷售額,百萬元,1102,*
2013,連江縣,製造業,銷售額,百萬元,35,*
2013,總計,電力及燃氣供應業,銷售額,百萬元,4281,939954
2013,臺北市,電力及燃氣供應業,銷售額,百萬元,892,81981
2013,新北市,電力及燃氣供應業,銷售額,百萬元,545,48825
2013,桃園縣,電力及燃氣供應業,銷售額,百萬元,351,106471
2013,臺中市,電力及燃氣供應業,銷售額,百萬元,517,101618
2013,臺南市,電力及燃氣供應業,銷售額,百萬元,148,104336
2013,高雄市,電力及燃氣供應業,銷售額,百萬元,469,187189
2013,基隆市,電力及燃氣供應業,銷售額,百萬元,29,*
2013,宜蘭縣,電力及燃氣供應業,銷售額,百萬元,4,571
2013,新竹市,電力及燃氣供應業,銷售額,百萬元,92,66194
2013,新竹縣,電力及燃氣供應業,銷售額,百萬元,38,14027
2013,苗栗縣,電力及燃氣供應業,銷售額,百萬元,129,62357
2013,彰化縣,電力及燃氣供應業,銷售額,百萬元,277,40214
2013,南投縣,電力及燃氣供應業,銷售額,百萬元,20,14008
2013,雲林縣,電力及燃氣供應業,銷售額,百萬元,384,*
2013,嘉義市,電力及燃氣供應業,銷售額,百萬元,7,*
2013,嘉義縣,電力及燃氣供應業,銷售額,百萬元,77,11769
2013,屏東縣,電力及燃氣供應業,銷售額,百萬元,111,13901
2013,澎湖縣,電力及燃氣供應業,銷售額,百萬元,0,*
2013,花蓮縣,電力及燃氣供應業,銷售額,百萬元,150,28253
2013,臺東縣,電力及燃氣供應業,銷售額,百萬元,37,*
2013,金門縣,電力及燃氣供應業,銷售額,百萬元,*,*
2013,連江縣,電力及燃氣供應業,銷售額,百萬元,0,*
2013,總計,用水供應及污染整治業,銷售額,百萬元,54501,127586
2013,臺北市,用水供應及污染整治業,銷售額,百萬元,5530,25230
2013,新北市,用水供應及污染整治業,銷售額,百萬元,8390,7528
2013,桃園縣,用水供應及污染整治業,銷售額,百萬元,7730,22952
2013,臺中市,用水供應及污染整治業,銷售額,百萬元,7238,12121
2013,臺南市,用水供應及污染整治業,銷售額,百萬元,3498,9559
2013,高雄市,用水供應及污染整治業,銷售額,百萬元,8239,30561
2013,基隆市,用水供應及污染整治業,銷售額,百萬元,724,*
2013,宜蘭縣,用水供應及污染整治業,銷售額,百萬元,504,*
2013,新竹市,用水供應及污染整治業,銷售額,百萬元,1209,2116
2013,新竹縣,用水供應及污染整治業,銷售額,百萬元,765,2575
2013,苗栗縣,用水供應及污染整治業,銷售額,百萬元,1150,931
2013,彰化縣,用水供應及污染整治業,銷售額,百萬元,2619,4191
2013,南投縣,用水供應及污染整治業,銷售額,百萬元,916,430
2013,雲林縣,用水供應及污染整治業,銷售額,百萬元,2061,1400
2013,嘉義市,用水供應及污染整治業,銷售額,百萬元,366,*
2013,嘉義縣,用水供應及污染整治業,銷售額,百萬元,1226,1458
2013,屏東縣,用水供應及污染整治業,銷售額,百萬元,1232,4333
2013,澎湖縣,用水供應及污染整治業,銷售額,百萬元,114,0
2013,花蓮縣,用水供應及污染整治業,銷售額,百萬元,575,*
2013,臺東縣,用水供應及污染整治業,銷售額,百萬元,247,*
2013,金門縣,用水供應及污染整治業,銷售額,百萬元,90,*
2013,連江縣,用水供應及污染整治業,銷售額,百萬元,77,0
2013,總計,營造業,銷售額,百萬元,1340692,700251
2013,臺北市,營造業,銷售額,百萬元,253871,359036
2013,新北市,營造業,銷售額,百萬元,237915,71004
2013,桃園縣,營造業,銷售額,百萬元,133002,26918
2013,臺中市,營造業,銷售額,百萬元,169575,89116
2013,臺南市,營造業,銷售額,百萬元,65912,22376
2013,高雄市,營造業,銷售額,百萬元,173606,82732
2013,基隆市,營造業,銷售額,百萬元,12951,263
2013,宜蘭縣,營造業,銷售額,百萬元,22648,6582
2013,新竹市,營造業,銷售額,百萬元,31375,13035
2013,新竹縣,營造業,銷售額,百萬元,31205,8419
2013,苗栗縣,營造業,銷售額,百萬元,22302,3039
2013,彰化縣,營造業,銷售額,百萬元,39744,2349
2013,南投縣,營造業,銷售額,百萬元,16729,765
2013,雲林縣,營造業,銷售額,百萬元,46468,2725
2013,嘉義市,營造業,銷售額,百萬元,11778,3186
2013,嘉義縣,營造業,銷售額,百萬元,16588,1168
2013,屏東縣,營造業,銷售額,百萬元,24708,3125
2013,澎湖縣,營造業,銷售額,百萬元,2696,313
2013,花蓮縣,營造業,銷售額,百萬元,13330,2733
2013,臺東縣,營造業,銷售額,百萬元,5883,1122
2013,金門縣,營造業,銷售額,百萬元,7424,8
2013,連江縣,營造業,銷售額,百萬元,983,*
2013,總計,批發及零售業,銷售額,百萬元,4151590,9393933
2013,臺北市,批發及零售業,銷售額,百萬元,920267,4257665
2013,新北市,批發及零售業,銷售額,百萬元,737324,1029226
2013,桃園縣,批發及零售業,銷售額,百萬元,359910,903802
2013,臺中市,批發及零售業,銷售額,百萬元,550980,759038
2013,臺南市,批發及零售業,銷售額,百萬元,293054,425075
2013,高雄市,批發及零售業,銷售額,百萬元,485321,950769
2013,基隆市,批發及零售業,銷售額,百萬元,34802,18865
2013,宜蘭縣,批發及零售業,銷售額,百萬元,45707,46801
2013,新竹市,批發及零售業,銷售額,百萬元,70607,178010
2013,新竹縣,批發及零售業,銷售額,百萬元,70566,162428
2013,苗栗縣,批發及零售業,銷售額,百萬元,51297,108585
2013,彰化縣,批發及零售業,銷售額,百萬元,179657,168054
2013,南投縣,批發及零售業,銷售額,百萬元,45792,36927
2013,雲林縣,批發及零售業,銷售額,百萬元,64480,77218
2013,嘉義市,批發及零售業,銷售額,百萬元,44638,77704
2013,嘉義縣,批發及零售業,銷售額,百萬元,41710,38428
2013,屏東縣,批發及零售業,銷售額,百萬元,74174,98823
2013,澎湖縣,批發及零售業,銷售額,百萬元,8267,5742
2013,花蓮縣,批發及零售業,銷售額,百萬元,37186,33802
2013,臺東縣,批發及零售業,銷售額,百萬元,20525,11604
2013,金門縣,批發及零售業,銷售額,百萬元,14312,5115
2013,連江縣,批發及零售業,銷售額,百萬元,1015,*
2013,總計,運輸及倉儲業,銷售額,百萬元,262169,814963
2013,臺北市,運輸及倉儲業,銷售額,百萬元,50817,450927
2013,新北市,運輸及倉儲業,銷售額,百萬元,31450,71298
2013,桃園縣,運輸及倉儲業,銷售額,百萬元,27901,95257
2013,臺中市,運輸及倉儲業,銷售額,百萬元,28643,25388
2013,臺南市,運輸及倉儲業,銷售額,百萬元,13915,10181
2013,高雄市,運輸及倉儲業,銷售額,百萬元,47927,98841
2013,基隆市,運輸及倉儲業,銷售額,百萬元,10711,27061
2013,宜蘭縣,運輸及倉儲業,銷售額,百萬元,6127,2950
2013,新竹市,運輸及倉儲業,銷售額,百萬元,2731,4390
2013,新竹縣,運輸及倉儲業,銷售額,百萬元,4037,4380
2013,苗栗縣,運輸及倉儲業,銷售額,百萬元,4418,1475
2013,彰化縣,運輸及倉儲業,銷售額,百萬元,9035,3359
2013,南投縣,運輸及倉儲業,銷售額,百萬元,3825,642
2013,雲林縣,運輸及倉儲業,銷售額,百萬元,4452,6162
2013,嘉義市,運輸及倉儲業,銷售額,百萬元,3024,1280
2013,嘉義縣,運輸及倉儲業,銷售額,百萬元,2110,1862
2013,屏東縣,運輸及倉儲業,銷售額,百萬元,3425,717
2013,澎湖縣,運輸及倉儲業,銷售額,百萬元,880,1377
2013,花蓮縣,運輸及倉儲業,銷售額,百萬元,3379,1941
2013,臺東縣,運輸及倉儲業,銷售額,百萬元,1450,2707
2013,金門縣,運輸及倉儲業,銷售額,百萬元,1552,2342
2013,連江縣,運輸及倉儲業,銷售額,百萬元,361,*
2013,總計,住宿及餐飲業,銷售額,百萬元,342378,149697
2013,臺北市,住宿及餐飲業,銷售額,百萬元,86535,78495
2013,新北市,住宿及餐飲業,銷售額,百萬元,40990,5900
2013,桃園縣,住宿及餐飲業,銷售額,百萬元,27961,10824
2013,臺中市,住宿及餐飲業,銷售額,百萬元,42134,14057
2013,臺南市,住宿及餐飲業,銷售額,百萬元,24131,3163
2013,高雄市,住宿及餐飲業,銷售額,百萬元,39162,12104
2013,基隆市,住宿及餐飲業,銷售額,百萬元,4304,*
2013,宜蘭縣,住宿及餐飲業,銷售額,百萬元,6104,2877
2013,新竹市,住宿及餐飲業,銷售額,百萬元,8162,2995
2013,新竹縣,住宿及餐飲業,銷售額,百萬元,7027,2194
2013,苗栗縣,住宿及餐飲業,銷售額,百萬元,5520,517
2013,彰化縣,住宿及餐飲業,銷售額,百萬元,9344,675
2013,南投縣,住宿及餐飲業,銷售額,百萬元,6598,3259
2013,雲林縣,住宿及餐飲業,銷售額,百萬元,4039,*
2013,嘉義市,住宿及餐飲業,銷售額,百萬元,5448,3102
2013,嘉義縣,住宿及餐飲業,銷售額,百萬元,3167,*
2013,屏東縣,住宿及餐飲業,銷售額,百萬元,8495,3454
2013,澎湖縣,住宿及餐飲業,銷售額,百萬元,1644,*
2013,花蓮縣,住宿及餐飲業,銷售額,百萬元,6197,2961
2013,臺東縣,住宿及餐飲業,銷售額,百萬元,4230,1738
2013,金門縣,住宿及餐飲業,銷售額,百萬元,969,0
2013,連江縣,住宿及餐飲業,銷售額,百萬元,216,0
2013,總計,資訊及通訊傳播業,銷售額,百萬元,109473,907360
2013,臺北市,資訊及通訊傳播業,銷售額,百萬元,59143,657939
2013,新北市,資訊及通訊傳播業,銷售額,百萬元,16404,75622
2013,桃園縣,資訊及通訊傳播業,銷售額,百萬元,4354,9072
2013,臺中市,資訊及通訊傳播業,銷售額,百萬元,9178,32925
2013,臺南市,資訊及通訊傳播業,銷售額,百萬元,3614,15194
2013,高雄市,資訊及通訊傳播業,銷售額,百萬元,6285,33296
2013,基隆市,資訊及通訊傳播業,銷售額,百萬元,541,*
2013,宜蘭縣,資訊及通訊傳播業,銷售額,百萬元,577,*
2013,新竹市,資訊及通訊傳播業,銷售額,百萬元,2767,20668
2013,新竹縣,資訊及通訊傳播業,銷售額,百萬元,1418,15073
2013,苗栗縣,資訊及通訊傳播業,銷售額,百萬元,835,4487
2013,彰化縣,資訊及通訊傳播業,銷售額,百萬元,882,8849
2013,南投縣,資訊及通訊傳播業,銷售額,百萬元,560,*
2013,雲林縣,資訊及通訊傳播業,銷售額,百萬元,481,4697
2013,嘉義市,資訊及通訊傳播業,銷售額,百萬元,688,4552
2013,嘉義縣,資訊及通訊傳播業,銷售額,百萬元,186,1814
2013,屏東縣,資訊及通訊傳播業,銷售額,百萬元,678,5076
2013,澎湖縣,資訊及通訊傳播業,銷售額,百萬元,93,*
2013,花蓮縣,資訊及通訊傳播業,銷售額,百萬元,376,2983
2013,臺東縣,資訊及通訊傳播業,銷售額,百萬元,225,*
2013,金門縣,資訊及通訊傳播業,銷售額,百萬元,176,*
2013,連江縣,資訊及通訊傳播業,銷售額,百萬元,13,*
2013,總計,金融及保險業,銷售額,百萬元,195397,1983760
2013,臺北市,金融及保險業,銷售額,百萬元,67855,1593983
2013,新北市,金融及保險業,銷售額,百萬元,26567,80834
2013,桃園縣,金融及保險業,銷售額,百萬元,10942,53277
