編號,國文,英文,數學,自然,社會
stu1,67,84,52,74,96
stu2,63,90,67,60,86
stu3,96,90,97,54,66
stu4,61,54,64,95,86
stu5,59,76,100,53,70
stu6,77,71,69,58,62
stu7,84,75,63,94,72
stu8,84,79,60,54,55
stu9,95,94,67,74,53
stu10,51,72,67,67,92
stu11,52,100,59,50,76
stu12,65,57,89,69,96
stu13,65,71,90,91,82
stu14,77,72,85,67,74
stu15,92,52,97,59,56
stu16,52,63,77,97,93
stu17,100,77,94,71,82
stu18,65,50,91,87,94
stu19,61,75,82,98,61
stu20,93,55,71,68,88
stu21,90,82,99,64,66
stu22,56,95,69,80,88
stu23,83,81,89,63,54
stu24,95,95,100,72,84
stu25,96,50,78,86,89
stu26,81,95,60,82,56
stu27,91,75,82,83,61
stu28,72,73,78,59,76
stu29,97,51,69,93,64
stu30,50,59,93,93,84
stu31,86,92,59,67,64
stu32,75,90,71,82,87
stu33,73,61,52,99,77
stu34,96,70,74,90,72
stu35,57,93,72,51,95
stu36,88,87,95,81,55
stu37,98,97,85,96,55
stu38,55,62,76,68,82
stu39,76,54,68,73,73
stu40,77,92,73,58,85
stu41,88,72,86,69,98
stu42,93,85,52,95,58
stu43,83,88,56,60,88
stu44,68,63,90,63,71
stu45,60,84,52,97,52
stu46,62,57,60,87,79
stu47,89,66,92,84,60
stu48,60,55,64,69,69
stu49,52,64,55,86,64
stu50,64,81,77,88,54
