國文,英文,數學,自然,社會
98,72,94,70,95
68,78,77,90,82
87,95,89,66,93
76,60,98,68,69
92,73,80,86,61
86,93,95,65,86
88,99,82,61,76
60,64,81,85,75
74,65,86,61,85
92,69,60,72,72
61,79,73,82,62
73,67,100,99,92
63,66,63,100,86
74,70,72,60,60
80,79,67,71,97
82,80,74,100,80
66,88,79,72,62
97,96,83,64,63
87,73,79,62,73
93,62,61,97,97
86,97,90,87,61
74,83,80,72,61
76,60,64,62,93
81,83,60,89,83
78,86,66,62,82
93,61,85,62,93
81,87,82,99,61
76,86,100,63,75
88,76,75,60,64
67,77,63,83,80
98,67,86,81,72
61,86,100,84,88
68,98,74,80,83
76,64,80,92,91
80,99,97,60,84
94,94,96,74,62
91,82,70,73,72
88,81,69,88,100
62,66,74,87,75
90,65,91,67,86
88,92,61,98,93
88,74,84,72,76
79,87,98,64,64
91,68,69,60,83
94,94,74,95,64
98,93,97,91,85
99,66,92,64,88
81,74,60,87,70
67,68,69,72,76
73,98,65,96,73
