index,上市有價證券種類,code,name,CFICode
0,股票,1101,台泥,ESVUFR
1,股票,1102,亞泥,ESVUFR
2,股票,1103,嘉泥,ESVUFR
3,股票,1104,環泥,ESVUFR
4,股票,1108,幸福,ESVUFR
5,股票,1109,信大,ESVUFR
6,股票,1110,東泥,ESVUFR
7,股票,1201,味全,ESVUFR
8,股票,1203,味王,ESVUFR
9,股票,1210,大成,ESVUFR
10,股票,1213,大飲,ESVUFR
11,股票,1215,卜蜂,ESVUFR
12,股票,1216,統一,ESVUFR
13,股票,1217,愛之味,ESVUFR
14,股票,1218,泰山,ESVUFR
15,股票,1219,福壽,ESVUFR
16,股票,1220,台榮,ESVUFR
17,股票,1225,福懋油,ESVUFR
18,股票,1227,佳格,ESVUFR
19,股票,1229,聯華,ESVUFR
20,股票,1231,聯華食,ESVUFR
21,股票,1232,大統益,ESVUFR
22,股票,1233,天仁,ESVUFR
23,股票,1234,黑松,ESVUFR
24,股票,1235,興泰,ESVUFR
25,股票,1236,宏亞,ESVUFR
26,股票,1256,鮮活果汁-KY,ESVUFR
27,股票,1301,台塑,ESVUFR
28,股票,1303,南亞,ESVUFR
29,股票,1304,台聚,ESVUFR
30,股票,1305,華夏,ESVUFR
31,股票,1307,三芳,ESVUFR
32,股票,1308,亞聚,ESVUFR
33,股票,1309,台達化,ESVUFR
34,股票,1310,台苯,ESVUFR
35,股票,1312,國喬,ESVUFR
36,股票,1313,聯成,ESVUFR
37,股票,1314,中石化,ESVUFR
38,股票,1315,達新,ESVUFR
39,股票,1316,上曜,ESVUFR
40,股票,1319,東陽,ESVUFR
41,股票,1321,大洋,ESVUFR
42,股票,1323,永裕,ESVUFR
43,股票,1324,地球,ESVUFR
44,股票,1325,恆大,ESVUFR
45,股票,1326,台化,ESVUFR
46,股票,1337,再生-KY,ESVUFR
47,股票,1338,廣華-KY,ESVUFR
48,股票,1339,昭輝,ESVUFR
49,股票,1340,勝悅-KY,ESVUFR
50,股票,1341,富林-KY,ESVUFR
51,股票,1342,八貫,ESVUFR
52,股票,1402,遠東新,ESVUFR
53,股票,1409,新纖,ESVUFR
54,股票,1410,南染,ESVUFR
55,股票,1413,宏洲,ESVUFR
56,股票,1414,東和,ESVUFR
57,股票,1416,廣豐,ESVUFR
58,股票,1417,嘉裕,ESVUFR
59,股票,1418,東華,ESVUFR
60,股票,1419,新紡,ESVUFR
61,股票,1423,利華,ESVUFR
62,股票,1432,大魯閣,ESVUFR
63,股票,1434,福懋,ESVUFR
64,股票,1435,中福,ESVUFR
65,股票,1436,華友聯,ESVUFR
66,股票,1437,勤益控,ESVUFR
67,股票,1438,三地開發,ESVUFR
68,股票,1439,雋揚,ESVUFR
69,股票,1440,南紡,ESVUFR
70,股票,1441,大東,ESVUFR
71,股票,1442,名軒,ESVUFR
72,股票,1443,立益物流,ESVUFR
73,股票,1444,力麗,ESVUFR
74,股票,1445,大宇,ESVUFR
75,股票,1446,宏和,ESVUFR
76,股票,1447,力鵬,ESVUFR
77,股票,1449,佳和,ESVUFR
78,股票,1451,年興,ESVUFR
