"Name_Ins","No","Address","tax_ID_number","twd97X","twd97Y","wgs84aX","wgs84aY"
"鴻輝食品廠","99611344","新北市新莊區新莊路四九三巷四弄一一號","35567635","295271.81","2769474.82","121.448618091317","25.0327031220478"
"廣達香食品股份有限公司","99604192","新北市新莊區化成路三八二巷一八號","35549807","297142.6","2771386.31","121.467221414508","25.04990297127"
"順發糧食行","99613990","新北市板橋區縣民大道一段二八一號","33305209","296479.77","2766976.61","121.460503814584","25.0101125037041"
"台灣塩野香料股份有限公司","99600477","新北市新莊區化成路二一九號","03561504","296988.9","2771035.63","121.465686254094","25.0467418103903"
"圓金釀造食品股份有限公司","99606467","新北市新莊區新樹路二六八巷二二號","35427115","293506.24","2767400.65","121.431057250618","25.0140290966789"
"永芳醬園股份有限公司","99605140","新北市永和區仁愛路一四一巷五二號","33938534","301732.77","2767131.03","121.512552729935","25.0113362727273"
"強生化學製藥廠股份有限公司","99606303","新北市三重區三和路4段77號2、3樓、79號1至6樓","35348007","299403.04","2774204.26","121.489724760043","25.0752712299029"
"大德製冰廠","99618950","新北市淡水區中正路二巷一號","37011107","294721.91","2784643.86","121.443662752774","25.1696653472412"
"臺灣農林股份有限公司北區分公司","99615941","新北市三峽區竹崙路140號","33506395","293933.08","2755800.58","121.434918096025","24.9092893193722"
"新成春碾米廠","99689303","新北市樹林區柑園街一段三四五號","33326978","289454.27","2760995.52","121.390728527778","24.956313257692"
"建興豆皮工廠","99615451","新北市鶯歌區黃厝街３１巷１７號","33230600","284697","2759789.33","121.343586243108","24.9455396021506"
"永順豆皮工廠","99689798","新北市鶯歌區尖山路二０四號","33084901","284708.03","2759963.63","121.343699812918","24.9471129516845"
"華泰行食品工廠","99606385","新北市新莊區新莊路六七、六九號","35913896","296171.48","2769931.02","121.457548356364","25.0367944736077"
"翁裕美商行","99610825","新北市新莊區新莊路128號","35320057","295984.45","2769831.04","121.455691611533","25.0358975757072"
"集發米廠","99690225","新北市金山區美田里中山路218號","37144900","314225.45","2790514.86","121.637415041646","25.2219599603803"
"和利碾米工廠","99619195","新北市淡水區中正路一七０號","37065905","294402.69","2784668.83","121.440496839299","25.1699002529404"
"桂冠實業股份有限公司中和一廠","99616659","新北市中和區中山路二段三二九號","18868215","299754.2","2766112.33","121.492913618514","25.0022057455344"
"建豐實業股份有限公司二重工廠","99613703","新北市三重區光復路二段一四０號","15276906","297617.89","2772461.45","121.471968995643","25.0595943998413"
"林源昌蔴油食品有限公司","99619056","新北市新店區永業路96號","30831740","303562.75","2760423.09","121.530423239643","24.9507133229856"
"信成油廠股份有限公司板橋分廠","99617209","新北市板橋區觀光街五八號","11473808","297453.14","2767704.56","121.470172349414","25.0166543089046"
"新合記實業有限公司","99610362","新北市新莊區幸福東路六０號","34014947","296909.48","2771352.31","121.464909921127","25.0496032681179"
"傳貴豆皮工廠","99618617","新北市板橋區南雅南路一段四巷一六號","33666478","295889.47","2766431.2","121.45463734709","25.0052064877386"
"樂口福食品股份有限公司深坑工廠","99600358","新北市深坑區文山路1段33號","19087104","313532.5","2766313.84","121.629418294751","25.0035100042302"
"南亞茶業股份有限公司","99689894","新北市三芝區橫山路一三之一號","33759594","300460.54","2794417.86","121.500952239","25.2577212984"
"天興豆腐店","99689352","新北市板橋區文化路一段四二一巷二七號","33033621","297034.51","2768433.01","121.466049494018","25.0232438168679"
"鴻明冷凍食品股份有限公司","99690131","新北市瑞芳區大寮路八四號","04545428","328827.38","2777102.9","121.781552515523","25.1001896865588"
"濟生股份有限公司","99612784","新北市新莊區福營路二二七巷二三號","04309819","293420.71","2769109.86","121.430263679278","25.0294624171988"
"永利油廠有限公司","99610191","新北市新莊區化成路三八九巷六六號","35874319","296718.73","2772291.32","121.463051381116","25.058086570109"
"富記食品有限公司泰山廠","99615544","新北市泰山區貴和里貴陽街五號","04274706","292517.69","2769550.88","121.421329273299","25.0334696629491"
"中立食品工業股份有限公司","99610549","新北市新莊區思源路九二號","27005133","296437.77","2770922.02","121.460220579223","25.0457331056547"
"鮮太王食品工業股份有限公司","99603189","新北市土城區工業區大同街一五之一號","97198133","294707.52","2762812.42","121.442810687","24.9725709758"
"振記冷藏股份有限公司","99605752","新北市新莊區中正路六一巷三號","35858269","296650.21","2770210.63","121.462301783883","25.0393041317188"
"德合豆沙工廠","99617720","新北市中和區連城路二一六、二一八號","34157727","299609.75","2765490.79","121.491460252588","24.9965991324267"
"三順冷凍有限公司","99606653","新北市板橋區干城路一五九號","27474851","296509.11","2764988.84","121.46072757345","24.9921658370712"
"有豐食品股份有限公司淡水廠","99606991","新北市淡水區椿子林二０之一號","89590248","298566.88","2788429.08","121.481940111497","25.2037184348291"
"樺興化學工業有限公司","99610519","新北市新莊區化成路389巷18號","35940916","296858.96","2772325.19","121.464442378396","25.0583879809496"
"文興食品工業股份有限公司淡水廠","99690093","新北市淡水區坪頂里小平頂二三之一二號","31133342","297944.02","2783178.48","121.475575490257","25.1563368467325"
"大醇食品股份有限公司","99600313","新北市淡水區行忠路328號","05078012","296444.05","2788000.37","121.460860771581","25.199915313356"
"代岱食品工廠","99609940","新北市板橋區中山路二段一四八巷三四號","33976733","298143.71","2767644.33","121.47701235737","25.0160886852898"
"台研食品有限公司","99604829","新北市三重區中興北街一五０巷三一號","34095722","297187.78","2772114.74","121.467694185915","25.0564777864874"
"寶龍食品廠有限公司","99610486","新北市樹林區三俊街一五九巷三五號","34463752","292301.48","2767686.91","121.419129595745","25.0166475965529"
"台灣留蘭香股份有限公司大屯廠","99617087","新北市淡水區小坑子頭5之1號","04375248","298707.56","2789428.85","121.483371741885","25.2127396484191"
