SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,34,,良好,0.7,0.1,0.11,15.5,14,34,13,2.2,3.8,1.6,1.3,94,2021/07/22 14:00:00,10,30,0,121.760056,25.129167,1
汐止,新北市,21,,良好,0.9,0.04,0.06,19.9,18,26,9,2.2,4.1,1.8,2.4,20,2021/07/22 14:00:00,6,21,0,121.6423,25.067131,2
萬里,新北市,81,懸浮微粒,普通,0.3,0.06,0.05,20.8,20,97,18,1.2,2.6,1.4,7.7,16,2021/07/22 14:00:00,16,81,0,121.689881,25.179667,3
新店,新北市,19,,良好,1.3,0.14,0.19,19,15,22,6,3.4,6.1,2.7,2,12,2021/07/22 14:00:00,5,14,1,121.537778,24.977222,4
土城,新北市,22,,良好,1.1,0.2,0.26,12.4,13,11,3,13.3,23.4,10,2.6,336,2021/07/22 14:00:00,4,13,0,121.451861,24.982528,5
板橋,新北市,14,,良好,0.4,0.16,0.27,17,13,15,5,4.1,6.8,2.6,4.2,349,2021/07/22 14:00:00,4,13,0,121.458667,25.012972,6
新莊,新北市,26,,良好,0.5,0.11,0.15,14.3,13,17,7,5.7,10.5,4.8,4.4,62,2021/07/22 14:00:00,8,14,0,121.4325,25.037972,7
菜寮,新北市,18,,良好,0.3,0.13,0.22,15.1,13,12,7,,,,2.3,314,2021/07/22 14:00:00,5,10,0,121.481028,25.06895,8
林口,新北市,16,,良好,0.3,0.06,0.05,15.5,14,19,6,2.2,5,2.7,5.8,19,2021/07/22 14:00:00,4,16,0,121.376869,25.077197,9
淡水,新北市,20,,良好,0.4,0.05,0.06,15.9,14,22,8,1.4,2.7,1.2,,,2021/07/22 14:00:00,5,20,0,121.449239,25.1645,10
士林,臺北市,13,,良好,,,0.09,,13,,8,,,,2.6,279,2021/07/22 14:00:00,4,10,0,121.515389,25.105417,11
中山,臺北市,18,,良好,0.8,0.19,0.31,15.4,11,17,6,5.3,9,3.7,1.8,7,2021/07/22 14:00:00,5,12,0,121.526528,25.062361,12
萬華,臺北市,18,,良好,1,0.18,0.24,,,16,3,6.6,11.6,5,1.2,6,2021/07/22 14:00:00,5,12,0,121.507972,25.046503,13
古亭,臺北市,17,,良好,0.1,0.11,0.18,14.1,9,13,7,3.9,6.3,2.3,1.9,40,2021/07/22 14:00:00,5,11,0,121.529556,25.020608,14
松山,臺北市,20,,良好,0.5,0.08,0.11,16.9,14,17,7,3.1,5.3,2.1,2.5,41,2021/07/22 14:00:00,6,14,0,121.578611,25.05,15
大同,臺北市,31,,良好,1.6,0.44,0.6,-,-,15,8,9.7,21,11.2,-,-,2021/07/22 14:00:00,9,17,1,121.513311,25.0632,16
桃園,桃園市,22,,良好,0.4,0.09,0.98,14.3,12,23,6,4.6,7.9,3.2,,,2021/07/22 14:00:00,6,18,0,121.30872222,24.98677778,17
大園,桃園市,25,,良好,0.8,0.07,0.07,17.9,16,29,10,3.2,7.1,3.9,8.9,24,2021/07/22 14:00:00,7,25,1,121.201811,25.060344,18
觀音,桃園市,30,,良好,0.4,0.04,0.05,17.1,15,32,3,1.3,1.6,0.3,4.7,28,2021/07/22 14:00:00,5,30,0,121.082761,25.035503,19
平鎮,桃園市,28,,良好,1.3,0.1,0.13,15.3,12,21,9,4.8,9.1,4.3,2.5,35,2021/07/22 14:00:00,8,20,1,121.203986,24.952786,20
龍潭,桃園市,14,,良好,0.2,0.13,0.12,15.2,15,10,5,6.1,10,3.8,3.7,57,2021/07/22 14:00:00,4,11,0,121.21635,24.863869,21
