SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,44,,良好,1.4,0.23,0.28,64.1,41,30,21,8.3,9.8,1.4,0.7,349,2021/07/27 14:00:00,13,24,1,121.760056,25.129167,1
汐止,新北市,43,,良好,3.2,0.19,0.33,70.8,46,,17,9.9,11.2,1.3,2.7,23,2021/07/27 14:00:00,13,25,0,121.6423,25.067131,2
萬里,新北市,42,,良好,1.1,0.17,0.17,77.4,45,38,16,3.5,4.1,0.6,1.4,32,2021/07/27 14:00:00,13,28,0,121.689881,25.179667,3
新店,新北市,41,,良好,1.9,0.2,0.25,80.9,44,23,9,7,8.2,1.2,2.8,314,2021/07/27 14:00:00,9,21,1,121.537778,24.977222,4
土城,新北市,40,,良好,1.3,0.22,0.24,76.1,43,26,11,7.9,8.9,1,2.5,7,2021/07/27 14:00:00,8,22,1,121.451861,24.982528,5
板橋,新北市,37,,良好,0.9,0.28,0.24,68.5,40,30,16,9.4,10.1,0.7,3.7,19,2021/07/27 14:00:00,10,20,0,121.458667,25.012972,6
新莊,新北市,43,,良好,0.8,0.2,0.2,73.9,44,,20,12.4,14.1,1.6,3.6,71,2021/07/27 14:00:00,13,,1,121.4325,25.037972,7
菜寮,新北市,49,,良好,2,0.25,0.33,76.6,48,36,19,11.4,12.3,0.8,3.2,175,2021/07/27 14:00:00,15,23,1,121.481028,25.06895,8
林口,新北市,41,,良好,1.3,0.14,0.17,73.2,44,21,11,5.4,6.6,1.1,3.4,278,2021/07/27 14:00:00,10,21,1,121.376869,25.077197,9
淡水,新北市,41,,良好,1.6,,0.25,61,34,33,13,7.2,8.6,1.4,1.5,320,2021/07/27 14:00:00,12,26,0,121.449239,25.1645,10
士林,臺北市,67,臭氧八小時,普通,1.1,0.21,0.28,84.4,60,38,14,11.1,11.2,0.1,3.6,293,2021/07/27 14:00:00,14,30,0,121.515389,25.105417,11
中山,臺北市,45,,良好,1.5,0.36,0.45,79.8,49,40,17,18.4,20.4,1.9,1.7,324,2021/07/27 14:00:00,13,28,0,121.526528,25.062361,12
萬華,臺北市,43,,良好,1,0.36,0.34,79.5,43,36,19,18,19.5,1.5,3.2,288,2021/07/27 14:00:00,13,25,0,121.507972,25.046503,13
古亭,臺北市,41,,良好,1,0.24,0.25,82.8,44,26,15,8.5,9.3,0.8,1.9,353,2021/07/27 14:00:00,10,19,0,121.529556,25.020608,14
松山,臺北市,41,,良好,2.4,0.3,0.35,77.3,44,33,18,12.4,13.8,1.3,2.5,41,2021/07/27 14:00:00,12,26,1,121.578611,25.05,15
大同,臺北市,46,,良好,2.1,0.57,1.71,-,-,43,18,19.6,22,2.4,-,-,2021/07/27 14:00:00,14,28,1,121.513311,25.0632,16
桃園,桃園市,40,,良好,0.6,0.22,0.23,74.9,43,25,12,8.2,9.3,1,,,2021/07/27 14:00:00,9,20,0,121.30872222,24.98677778,17
